feature,importance
aws_ws_roll_180m_mean,905
kt_now,903
clp_cot,873
ghi_now,872
hour_sin,718
solar_elev_deg,637
ghi_roll_180m_max,557
clp_cth_roll_180m_mean,483
clp_cot_roll_180m_mean,464
clp_cer,450
synop_dewpoint_c,413
dhi_roll_180m_mean,413
clp_cot_lag_10m,362
ghi_delta_60m,344
ghi_roll_180m_min,325
clp_cth_delta_180m,319
clp_cot_delta_180m,318
temp_rh_interaction,313
clp_ctt_k,312
aws_temp_roll_180m_mean,310
ghi_roll_180m_std,306
clp_cot_delta_30m,291
dni_roll_180m_mean,284
aws_rh_roll_180m_mean,267
clp_cot_delta_60m,266
aws_pressure_hpa,263
clp_cot_delta_10m,254
cloud_height_temp_interaction,249
synop_wind_dir_deg,233
synop_temp_c,228
nett_rad_now,223
aws_pressure_lag_60m,223
month_cos,207
reflected_now,188
accel_ghi_20m,173
dni_fraction,166
dni_now,161
clp_cth_m,150
month_sin,150
ghi_lag_180m,124
accel_kt_20m,121
solar_elev_sin_clip,97
accel_clp_cot_20m,57
