horizon_min,fold,n_train_eff,n_test,best_iter,r2,mae,rmse,skill_vs_sp
10,1,18168,12062,110,0.7308,84.4,142.3,0.111
10,2,30513,12323,362,0.7967,72.4,123.0,0.1493
10,3,42553,12128,196,0.8539,59.6,95.7,0.1025
10,4,54965,12325,472,0.8685,58.6,95.5,0.1152
10,5,67006,24317,249,0.8768,54.9,92.1,0.0976
20,1,17957,11881,130,0.6659,102.3,157.9,0.1585
20,2,30120,12201,197,0.7475,88.6,136.5,0.1867
20,3,42039,11946,239,0.7772,78.8,117.7,0.1454
20,4,54268,12203,549,0.7963,76.5,118.7,0.1721
20,5,66188,24015,319,0.805,74.2,115.6,0.1448
30,1,17684,11700,191,0.6336,112.0,164.8,0.1811
30,2,29665,12017,190,0.7184,98.3,143.4,0.1922
30,3,41401,11764,240,0.7329,89.2,128.5,0.1667
30,4,53447,12019,599,0.7599,85.4,128.4,0.2044
30,5,65184,23651,279,0.7632,84.9,127.0,0.1686
40,1,17411,11519,174,0.6021,119.3,171.3,0.1918
40,2,29210,11833,217,0.6897,105.3,149.9,0.202
40,3,40763,11582,303,0.7049,95.8,134.9,0.179
40,4,52626,11835,373,0.7338,91.5,135.0,0.2197
40,5,64180,23287,397,0.7322,92.5,134.8,0.1798
50,1,17138,11338,208,0.5755,125.6,176.6,0.1962
50,2,28755,11649,343,0.6691,109.8,154.4,0.215
50,3,40125,11400,278,0.6774,102.1,141.0,0.1869
50,4,51805,11651,580,0.7131,96.1,140.1,0.2322
50,5,63176,22923,243,0.7032,99.5,141.8,0.1909
60,1,16865,11157,232,0.546,131.5,182.5,0.1973
60,2,28300,11465,440,0.6439,116.2,159.9,0.22
60,3,39487,11218,331,0.6539,106.9,146.2,0.1929
60,4,50984,11467,291,0.6923,101.4,145.2,0.2395
60,5,62172,22559,259,0.6781,105.5,147.8,0.2012
