iteration,removed,importance,n_remaining_before,r2_current,r2_after_removal,delta_vs_baseline
1,clp_cloud_present,0.016568158827985728,50,0.6790878386693023,0.6792233756422013,-0.00013553697289891975
2,accel_ghi_20m,0.21919888707766744,49,0.6792233756422013,0.6788983784846532,0.00018946018464915948
3,accel_clp_cot_20m,0.23326582905552837,48,0.6788983784846532,0.6792607950791653,-0.00017295640986292327
4,accel_kt_20m,0.28275514678378333,47,0.6792607950791653,0.6799542086069927,-0.0008663699376904033
5,ghi_lag_60m,0.3714833272907997,46,0.6799542086069927,0.6799848885940739,-0.0008970499247715757
6,kt_lag_20m,0.31108093363671335,45,0.6799848885940739,0.6796780372134053,-0.0005901985441029156
7,ghi_delta_60m,0.3893033455765555,44,0.6796780372134053,0.6790358083380037,5.203033129863588e-05
8,kt_lag_10m,0.3251487779876774,43,0.6790358083380037,0.679183104567556,-9.526589825370468e-05
9,ghi_roll_30m_std,0.6307889169581737,42,0.679183104567556,0.6792078723033298,-0.00012003363402746103
10,kt_lag_60m,0.5815898561238372,41,0.6792078723033298,0.6789747951747074,0.00011304349459495544
11,kt_lag_30m,0.6371642642277839,40,0.6789747951747074,0.6793700043193716,-0.00028216565006922156
12,ghi_delta_10m,0.8115264642210983,39,0.6793700043193716,0.678563205313937,0.0005246333553653448
13,ghi_lag_20m,0.7123833613369239,38,0.678563205313937,0.6797543581877965,-0.0006665195184941686
14,ghi_now,0.8559181286649158,37,0.6797543581877965,0.6792081147823479,-0.00012027611304554764
15,ghi_lag_10m,0.7643616556039599,36,0.6792081147823479,0.6800046933234944,-0.0009168546541921119
16,ghi_lag_120m,0.9237467781364905,35,0.6800046933234944,0.6797662524341098,-0.0006784137648074839
17,clp_cot_lag_60m,0.9269270893823569,34,0.6797662524341098,0.6791797221445272,-9.188347522481877e-05
18,ghi_lag_180m,1.1455809398204335,33,0.6791797221445272,0.6790806665817593,7.172087543083627e-06
19,kt_roll30m_std,1.0100694438238396,32,0.6790806665817593,0.6787081365765387,0.0003797020927636119
20,clp_cot_lag_30m,0.9007585932754627,31,0.6787081365765387,0.6789177333511666,0.00017010531813577145
21,kt_roll30m_mean,0.9994705169414086,30,0.6789177333511666,0.679079211483271,8.627186031340273e-06
22,ghi_lag_30m,1.2733009945240281,29,0.679079211483271,0.6791684013176891,-8.056264838673943e-05
23,clp_cot_delta_60m,1.4624021141407662,28,0.6791684013176891,0.6790539042134065,3.3934455895834326e-05
24,hour_cos,1.642054880573743,27,0.6790539042134065,0.6785425183945067,0.000545320274795591
25,month_sin,1.6830992481429332,26,0.6785425183945067,0.6787384595851855,0.0003493790841168076
26,kt_now,1.4479817350998168,25,0.6787384595851855,0.6788136585472768,0.00027418012202551356
27,clp_cot_delta_10m,2.0486547095920904,24,0.6788136585472768,0.6767134780926609,0.002374360576641421
