feature,selected
ghi_now,False
ghi_lag_10m,False
ghi_lag_20m,False
ghi_lag_30m,False
ghi_lag_60m,False
ghi_lag_120m,False
ghi_lag_180m,False
ghi_roll_30m_mean,True
ghi_roll_30m_std,False
ghi_roll_60m_mean,True
ghi_roll_60m_std,True
ghi_roll_180m_mean,True
ghi_roll_180m_std,True
ghi_delta_10m,False
ghi_delta_60m,False
accel_ghi_20m,False
kt_now,False
kt_lag_10m,False
kt_lag_20m,False
kt_lag_30m,False
kt_lag_60m,False
kt_roll30m_mean,False
kt_roll30m_std,False
kt_roll60m_mean,True
accel_kt_20m,False
clp_cot,True
clp_cot_lag_10m,True
clp_cot_lag_20m,True
clp_cot_lag_30m,False
clp_cot_lag_60m,False
clp_cot_delta_10m,True
clp_cot_delta_30m,True
clp_cot_delta_60m,False
clp_cot_delta_180m,True
clp_cot_roll_180m_mean,True
accel_clp_cot_20m,False
clp_cth_m,True
clp_ctt_k,True
clp_cer,True
clp_cloud_present,False
hour_sin,True
hour_cos,False
doy_sin,True
doy_cos,True
month_sin,False
month_cos,True
ghi_cs_t60,True
elev_sin_t60,True
smart_persist,True
smart_persist_avg,True
