┌─────────┬─────────────────────────┬───────────┐
│    t    │       column_name       │ data_type │
│ varchar │         varchar         │  varchar  │
├─────────┼─────────────────────────┼───────────┤
│ aws     │ aws_qc_flag             │ VARCHAR   │
│ aws     │ pp_air                  │ DOUBLE    │
│ aws     │ pp_air_calibrated       │ DOUBLE    │
│ aws     │ pp_air_corrected        │ DOUBLE    │
│ aws     │ pp_air_filled           │ DOUBLE    │
│ aws     │ pp_air_flag             │ DOUBLE    │
│ aws     │ pp_air_source           │ VARCHAR   │
│ aws     │ rh_avg                  │ DOUBLE    │
│ aws     │ rh_avg_calibrated       │ DOUBLE    │
│ aws     │ rh_avg_corrected        │ DOUBLE    │
│ aws     │ rh_avg_filled           │ DOUBLE    │
│ aws     │ rh_avg_flag             │ DOUBLE    │
│ aws     │ rh_fill_flag            │ VARCHAR   │
│ aws     │ rr                      │ DOUBLE    │
│ aws     │ rr_corrected            │ DOUBLE    │
│ aws     │ rr_fill_flag            │ VARCHAR   │
│ aws     │ rr_filled               │ DOUBLE    │
│ aws     │ rr_flag                 │ DOUBLE    │
│ aws     │ sr_avg                  │ DOUBLE    │
│ aws     │ sr_avg_flag             │ DOUBLE    │
│  ·      │      ·                  │   ·       │
│  ·      │      ·                  │   ·       │
│  ·      │      ·                  │   ·       │
│ aws     │ tt_air_fill_flag        │ VARCHAR   │
│ aws     │ tt_air_max              │ DOUBLE    │
│ aws     │ tt_air_max_corrected    │ DOUBLE    │
│ aws     │ tt_air_max_filled       │ DOUBLE    │
│ aws     │ tt_air_max_flag         │ DOUBLE    │
│ aws     │ tt_air_min              │ DOUBLE    │
│ aws     │ tt_air_min_corrected    │ DOUBLE    │
│ aws     │ tt_air_min_filled       │ DOUBLE    │
│ aws     │ tt_air_min_flag         │ DOUBLE    │
│ aws     │ tt_air_minmax_fill_flag │ VARCHAR   │
│ aws     │ wd_avg                  │ DOUBLE    │
│ aws     │ wd_avg_filled           │ DOUBLE    │
│ aws     │ wd_avg_flag             │ DOUBLE    │
│ aws     │ wind_fill_flag          │ VARCHAR   │
│ aws     │ ws_avg                  │ DOUBLE    │
│ aws     │ ws_avg_filled           │ DOUBLE    │
│ aws     │ ws_avg_flag             │ DOUBLE    │
│ aws     │ ws_max                  │ DOUBLE    │
│ aws     │ ws_max_filled           │ DOUBLE    │
│ aws     │ ws_max_flag             │ DOUBLE    │
└─────────┴─────────────────────────┴───────────┘
  47 rows (40 shown)                  3 columns
