┌─────────┬─────────────────────────┬───────────┐
│    t    │       column_name       │ data_type │
│ varchar │         varchar         │  varchar  │
├─────────┼─────────────────────────┼───────────┤
│ clp     │ CLER_23_count           │ DOUBLE    │
│ clp     │ CLER_23_coverage        │ DOUBLE    │
│ clp     │ CLER_23_max             │ DOUBLE    │
│ clp     │ CLER_23_mean            │ DOUBLE    │
│ clp     │ CLER_23_median          │ DOUBLE    │
│ clp     │ CLER_23_min             │ DOUBLE    │
│ clp     │ CLER_23_std             │ DOUBLE    │
│ clp     │ CLER_23_valid           │ BOOLEAN   │
│ clp     │ CLER_23_validity_reason │ VARCHAR   │
│ clp     │ CLOT_count              │ DOUBLE    │
│ clp     │ CLOT_coverage           │ DOUBLE    │
│ clp     │ CLOT_max                │ DOUBLE    │
│ clp     │ CLOT_mean               │ DOUBLE    │
│ clp     │ CLOT_median             │ DOUBLE    │
│ clp     │ CLOT_min                │ DOUBLE    │
│ clp     │ CLOT_std                │ DOUBLE    │
│ clp     │ CLTH_count              │ DOUBLE    │
│ clp     │ CLTH_coverage           │ DOUBLE    │
│ clp     │ CLTH_max                │ DOUBLE    │
│ clp     │ CLTH_mean               │ DOUBLE    │
│  ·      │     ·                   │   ·       │
│  ·      │     ·                   │   ·       │
│  ·      │     ·                   │   ·       │
│ clp     │ CLTYPE_count            │ DOUBLE    │
│ clp     │ CLTYPE_coverage         │ DOUBLE    │
│ clp     │ CLTYPE_max              │ DOUBLE    │
│ clp     │ CLTYPE_mean             │ DOUBLE    │
│ clp     │ CLTYPE_median           │ DOUBLE    │
│ clp     │ CLTYPE_min              │ DOUBLE    │
│ clp     │ CLTYPE_std              │ DOUBLE    │
│ clp     │ cer_consolidated        │ DOUBLE    │
│ clp     │ cloud_class             │ VARCHAR   │
│ clp     │ cloud_present_corrected │ BOOLEAN   │
│ clp     │ cloud_type_consolidated │ VARCHAR   │
│ clp     │ cot_consolidated        │ DOUBLE    │
│ clp     │ cth_m_consolidated      │ DOUBLE    │
│ clp     │ ctt_k_consolidated      │ DOUBLE    │
│ clp     │ qa_flag_consolidated    │ VARCHAR   │
│ clp     │ satellite               │ VARCHAR   │
│ clp     │ source_file             │ VARCHAR   │
│ clp     │ source_table            │ VARCHAR   │
│ clp     │ ts_wib                  │ TIMESTAMP │
│ clp     │ valid_variables         │ BIGINT    │
└─────────┴─────────────────────────┴───────────┘
  50 rows (40 shown)                  3 columns
