col_name,n_nonnull,pct_filled
cloud_vertical_vis,0,0.0
cloud_layer_4_amt_oktas_ns,6,0.02
cloud_layer_4_height_m_hshs,6,0.02
cloud_layer_4_type_c,6,0.02
land_note,51,0.2
qc_histories,57,0.23
cloud_low_cover_3,202,0.8
cloud_low_dir_3,202,0.8
cloud_low_type_3,202,0.8
cloud_high_type_2,510,2.02
cloud_high_base_2,510,2.02
cloud_high_cover_2,510,2.02
cloud_high_dir_2,510,2.02
cloud_low_base_3,915,3.62
rainfall_24h_rrrr,1604,6.34
sunshine_h_sss,1609,6.36
solar_rad_24h_jcm2_f24,1609,6.36
temp_min_c_tntntn,1610,6.37
evaporation_eq_indicator_ie,1610,6.37
evaporation_24hours_mm_eee,1610,6.37
temp_max_c_txtxtx,1976,7.81
cloud_layer_3_type_c,1996,7.89
cloud_layer_3_height_m_hshs,1996,7.89
cloud_layer_3_amt_oktas_ns,1996,7.89
cloud_med_dir_2,3285,12.99
cloud_med_cover_2,3285,12.99
cloud_med_type_2,3285,12.99
cloud_med_base_2,3285,12.99
pressure_24h_diff_mb_p24,3353,13.26
cloud_low_peak_2,3557,14.07
rainfall_6h_rrr,3901,15.43
cloud_low_type_2,3927,15.53
cloud_low_cover_2,3927,15.53
cloud_low_dir_2,3927,15.53
cloud_layer_2_type_c,5905,23.35
cloud_layer_2_height_m_hshs,5905,23.35
cloud_layer_2_amt_oktas_ns,5905,23.35
cloud_elevation_angle_ec_2,6116,24.18
cloud_low_dir_true_da_2,7113,28.13
pressure_3h_diff_mb_ppp,7424,29.36
cloud_low_dir_true_da_1,8002,31.64
cloud_med_type_1,8661,34.25
cloud_high_type_1,8829,34.91
cloud_low_type_1,8937,35.34
cloud_layer_1_height_m_hshs,8996,35.57
cloud_layer_1_amt_oktas_ns,8996,35.57
cloud_layer_1_type_c,8996,35.57
rainfall_last_mm,9512,37.61
cloud_low_base_2,13226,52.3
cloud_low_peak_1,17009,67.26
cloud_elevation_angle_ec_1,20802,82.26
cloud_high_base_1,23718,93.79
cloud_med_base_1,24936,98.6
cloud_low_base_1,25219,99.72
pressure_qfe_mb_derived,25288,100.0
pressure_qff_mb_derived,25288,100.0
pressure_reading_mb,25288,100.0
pressure_temp_c,25288,100.0
