feature,importance_rmse_increase
hour_sin,26.613671477406456
ghi_now,9.45068428810697
aws_sr_avg_w_m2,2.903410880408501
month_cos,1.6492802455915694
dhi_roll_180m_mean,1.3726943054185767
ghi_roll_30m_min,1.132379170268564
ghi_roll_180m_mean,1.126951865771332
ghi_roll_180m_std,0.7936472039199316
ghi_roll_60m_max,0.7528000298558482
aws_temp_lag_60m,0.5608855571566664
ghi_delta_10m,0.5168652679412276
ghi_roll_60m_std,0.5007475893340825
ghi_roll_180m_max,0.2800526018765481
ghi_lag_30m,0.26863059730800387
aws_rh_roll_180m_mean,0.2446335703871796
aws_temp_roll_180m_mean,0.23790985207892845
ghi_roll_30m_max,0.2050218160330246
ghi_roll_30m_mean,0.18536492679311323
synop_wind_speed,0.15699193287406388
dhi_lag_60m,0.13650998370536627
ghi_roll_60m_mean,0.12218820898050353
aws_ws_max,0.10987048679686495
aws_temp_c,0.09172375718793546
ghi_roll_30m_std,0.08186089785414197
ghi_delta_60m,0.055261951472630244
ghi_roll_60m_min,0.019408105898264694
synop_solar_rad_24h,0.009112084949322252
clp_thin_cloud_flag,0.0
clp_thick_cloud_flag,0.0
clp_moderate_cloud_flag,0.0
clp_ctt_k,0.0
clp_clear_flag,0.0
clp_cloud_present,0.0
daylight_flag,0.0
sun_above_5deg_flag,0.0
clp_cth_roll_180m_mean,0.0
clp_cot_roll_180m_mean,0.0
clp_cot_lag_60m,0.0
clp_cot,0.0
clp_cth_m,0.0
clp_cth_lag_60m,0.0
clp_cer,0.0
asrs_n_obs_1min,-0.0010141982469349387
ghi_lag_10m,-0.0068668812423311465
asrs_ok_obs,-0.010307999709027627
aws_temp_delta_60m,-0.02348549793816801
dni_lag_60m,-0.08386920915529572
aws_temp_max_c,-0.1053059459936776
aws_ws_avg,-0.11110708300248007
synop_rainfall_24h_mm,-0.12741917233392996
aws_ws_roll_180m_mean,-0.17684158856542354
aws_pressure_hpa,-0.1813148603926038
aws_rh_delta_60m,-0.20415555213969583
synop_visibility,-0.22964839872503262
aws_rain_mm,-0.24013181686183316
aws_rain_sum_180m,-0.29628549931965154
ghi_lag_60m,-0.3111381964029647
aws_pressure_lag_60m,-0.32903533387394646
aws_temp_min_c,-0.3681046909828183
synop_rh_pct,-0.3852376391626535
aws_wd_deg,-0.3970126272542984
synop_temp_c,-0.3981803003568416
ghi_lag_120m,-0.4873986771392538
reflected_now,-0.5202575502669333
synop_dewpoint_c,-0.5687765746061473
ghi_roll_180m_min,-0.6928287398623638
month_sin,-0.7362422447279187
dni_roll_180m_mean,-0.8688099634956075
synop_wind_dir_deg,-0.8771383606716086
hour_cos,-1.0894834158202684
ghi_lag_180m,-1.1283426603192197
dni_now,-1.1581772668510553
aws_rh_pct,-1.1717086732851953
dhi_now,-1.2306730451406338
aws_rh_lag_60m,-1.8888424697565256
nett_rad_now,-4.324186210547509
solar_elev_deg,-13.10222425092553
