feature,importance_lgbm_residual,importance_lgbm_weighted
kt_now,752,948
clp_cot,642,907
dni_now,441,814
clear_sky_ghi_target_60m,427,772
clp_cot_delta_180m,252,414
clp_cot_delta_60m,198,382
clp_cer,184,381
hour_sin,179,258
month_sin,167,248
ghi_now,163,212
dni_fraction,162,265
month_cos,161,350
synop_dewpoint_c,160,357
clp_cot_roll_180m_mean,159,421
cloud_height_temp_interaction,156,256
dhi_roll_180m_mean,149,351
reflected_now,134,209
nett_rad_now,127,152
clp_cth_roll_180m_mean,124,347
aws_ws_roll_180m_mean,119,330
ghi_ramp_ratio_60m,117,195
aws_pressure_lag_60m,110,360
temp_rh_interaction,110,251
ghi_roll_180m_max,110,342
synop_temp_c,110,308
clp_cth_delta_60m,107,195
ghi_delta_60m,106,209
aws_pressure_hpa,97,344
clp_ctt_k,94,192
ghi_lag_180m,93,218
synop_wind_dir_deg,92,260
ghi_roll_180m_std,91,238
dni_roll_180m_mean,89,304
dhi_fraction,89,207
clp_cth_m,87,148
aws_temp_roll_180m_mean,87,263
ghi_roll_180m_min,86,229
wind_u,83,182
ghi_roll_30m_max,82,163
solar_elev_deg,81,218
ghi_roll_60m_max,79,213
clp_cot_lag_60m,79,209
synop_rh_pct,73,182
solar_elev_sin_clip,72,150
ghi_roll_180m_range,72,185
ghi_roll_60m_std,71,147
ghi_roll_60m_min,69,177
clp_cth_delta_180m,68,232
aws_rh_roll_180m_mean,65,230
aws_rain_sum_180m,62,148
ghi_roll_180m_mean,61,146
ghi_roll_60m_range,58,188
aws_temp_min_c,56,124
dni_lag_60m,56,183
clp_cth_lag_60m,54,185
aws_sr_avg_w_m2,53,130
dhi_lag_60m,51,206
aws_ws_avg,49,155
ghi_roll_30m_min,49,110
synop_visibility,48,187
aws_rh_lag_60m,44,142
wind_v,43,205
ghi_roll_30m_std,42,106
aws_temp_lag_60m,41,111
ghi_delta_10m,40,124
dhi_now,36,135
ghi_lag_60m,34,108
clp_moderate_cloud_flag,34,40
asrs_n_obs_1min,34,59
ghi_roll_30m_mean,33,67
vpd_proxy,33,98
aws_wd_deg,33,166
aws_rh_pct,33,115
aws_temp_delta_60m,33,130
ghi_lag_120m,32,131
aws_temp_c,29,104
aws_rh_delta_60m,29,121
aws_ws_max,28,130
aws_rain_mm,28,52
ghi_lag_10m,27,95
aws_temp_max_c,21,77
ghi_roll_60m_mean,20,102
ghi_to_aws_sr_ratio,19,122
synop_wind_speed,18,103
ghi_lag_30m,16,73
clp_thick_cloud_flag,16,14
hour_cos,15,52
solar_elev_sin,12,35
clp_thin_cloud_flag,11,6
asrs_ok_obs,8,17
diffuse_to_global_ratio,5,28
aws_temp_range,5,48
synop_rainfall_24h_mm,3,21
clear_sky_ghi_now,3,15
sun_above_5deg_flag,0,0
daylight_flag,0,0
clp_cloud_present,0,0
clp_clear_flag,0,0
cloud_opacity_proxy,0,0
synop_solar_rad_24h,0,11
