model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence
lgbm_residual,23716,103.85515715749897,141.61731659421872,0.7841186947793816,-4.335990622013129,0.3811323367976055
ensemble_lgbm_transformer,23716,104.05901680659801,145.19974981430298,0.773058433000765,17.69271637958161,0.3654771038867548
ensemble_lgbm_lstm_transformer,23716,105.97874719093493,146.19228313217513,0.769945246913982,14.965566492456402,0.3611397333599421
lgbm_weighted_residual,23716,104.09210047092527,146.2533948169744,0.7697528705210139,25.432148806204076,0.3608726753018202
ensemble_lgbm_attention,23716,109.46511058545792,153.5145004878449,0.7463229837947962,32.59339937159247,0.3291416440489605
ensemble_all_residual,23716,108.72185463209351,153.66764153639087,0.745816611549055,34.969407374787096,0.3284724176779683
lstm_residual,23260,113.76219998318874,154.73235942191013,0.7423949735285251,9.593970592560856,0.3238196005957952
ensemble_weighted_high,23716,109.38663128463382,156.3807898783782,0.7367616754204938,42.946123346393954,0.3166159596210889
transformer_residual,23260,111.45313958192712,160.66151922000782,0.7222744881905994,40.396381401632446,0.29790917270994377
attention_lstm_residual,23260,128.8603369909793,186.8432269888192,0.6243816886287777,70.78198740666508,0.18349511166711685
persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299854,-0.9050083327254107,0.0
