horizon_min,fold,n_train_eff,n_test,best_iter,r2,mae,rmse,skill_vs_sp
10,1,31905,12276,187,0.9243,50.2,84.3,0.0914
10,2,43898,12434,149,0.9239,49.5,83.0,0.1272
10,3,56110,12305,321,0.9214,51.4,89.4,0.1063
10,4,68683,12226,355,0.9259,47.3,81.2,0.1379
10,5,80918,23925,369,0.9248,49.9,83.9,0.1216
20,1,31815,12220,183,0.8737,69.2,108.6,0.1323
20,2,43751,12437,208,0.8858,64.1,101.6,0.174
20,3,55964,12250,343,0.8694,70.9,115.0,0.1592
20,4,68483,12219,483,0.8871,61.9,100.2,0.1818
20,5,80719,23878,529,0.8774,68.2,107.1,0.1672
30,1,31505,12091,214,0.8417,79.8,120.9,0.1648
30,2,43345,12375,198,0.8649,71.9,110.2,0.1995
30,3,55461,12121,388,0.8387,81.4,127.3,0.1957
30,4,67885,12148,465,0.8656,69.5,109.1,0.2168
30,5,80024,23696,468,0.849,78.1,118.5,0.2047
40,1,31074,11910,225,0.8161,87.2,129.3,0.1913
40,2,42782,12251,237,0.8462,77.6,116.9,0.2238
40,3,54724,11940,424,0.8155,89.6,135.5,0.2206
40,4,67016,12016,486,0.8482,75.0,115.3,0.2409
40,5,78980,23405,476,0.8258,85.4,126.6,0.2277
50,1,30580,11729,209,0.7937,93.7,136.0,0.2117
50,2,42111,12071,330,0.8274,82.6,123.1,0.2388
50,3,53872,11759,271,0.7933,96.9,142.7,0.2337
50,4,65983,11832,535,0.834,79.6,119.9,0.259
50,5,77765,23059,380,0.8048,91.9,133.4,0.2445
60,1,30085,11548,264,0.7788,98.2,140.0,0.2342
60,2,41439,11890,256,0.81,87.4,128.4,0.2556
60,3,53019,11578,283,0.7745,102.4,148.6,0.251
60,4,64948,11648,481,0.8188,84.1,124.7,0.2728
60,5,76548,22711,451,0.7876,97.1,138.6,0.2586
