feature,importance,rank
smart_persist,14.495347704429943,1
ghi_cs_t60,10.651229771600264,2
elev_sin_t60,9.9722497787236,3
clp_cot,5.566729384921372,4
hour_sin,3.6528110885477902,5
dni_fraction,2.9005747287427095,6
dni_now,2.375588932368428,7
doy_cos,2.2437888933245236,8
doy_sin,2.101658101162782,9
clp_cot_lag_10m,2.019519840771462,10
clp_ctt_k,1.9266523196728582,11
kt_now,1.4383260250154286,12
clp_cer,1.3815663678146883,13
clp_cot_lag_30m,1.2853885633582265,14
clp_cot_delta_180m,1.278193095068991,15
clp_cot_lag_20m,1.2092141902900875,16
ghi_lag_180m,1.2081311374593426,17
dni_roll_180m_mean,1.2049438329190532,18
ghi_roll_180m_max,1.1615728477382052,19
clp_cot_delta_10m,1.1547126545085826,20
aws_ws_roll_180m_mean,1.1519363498780837,21
aws_pressure_lag_60m,1.1180102012871351,22
dhi_roll_180m_mean,1.1057970859266864,23
aws_rh_roll_180m_mean,1.1012913047306672,24
dhi_fraction,1.004210585194987,25
clear_sky_ghi_now,0.9743869709482612,26
clp_cot_roll_180m_mean,0.9681837466277824,27
clp_cot_delta_60m,0.9492209548801372,28
aws_temp_roll_180m_mean,0.9126017611090831,29
clp_cth_roll_180m_mean,0.899018756010744,30
ghi_delta_60m,0.8738153161537824,31
clp_cot_delta_30m,0.854014863020593,32
smart_persist_avg,0.8252648054693643,33
ghi_lag_120m,0.7949762003193951,34
aws_temp_c,0.7821063450046438,35
ghi_roll_180m_std,0.7726888201031735,36
month_sin,0.7508106537516787,37
solar_elev_sin_clip,0.7287338783658861,38
ghi_roll_60m_max,0.7039829638581149,39
cloud_height_temp_interaction,0.7008833287940547,40
clp_cth_m,0.7004136056055015,41
aws_pressure_hpa,0.6761662245047799,42
dhi_now,0.6592082442363282,43
ghi_roll_180m_min,0.6495400351638163,44
month_cos,0.5387938177966966,45
clp_cth_delta_180m,0.5376016219470444,46
ghi_roll_180m_mean,0.5300041959002421,47
ghi_roll_60m_min,0.4694668192559546,48
nett_rad_now,0.43811071784213207,49
aws_rh_pct,0.43742335539463895,50
clp_cot_lag_60m,0.4180341194073748,51
aws_ws_avg,0.4026601274288703,52
ghi_roll_180m_range,0.37571739431484585,53
kt_roll30m_mean,0.3686472101219887,54
ghi_ramp_ratio_60m,0.36687011995237573,55
hour_cos,0.34392684197984874,56
ghi_roll_60m_range,0.3257588166670731,57
reflected_now,0.3179225674521417,58
clp_cth_lag_60m,0.3024248140817321,59
ghi_lag_10m,0.28475420807842644,60
ghi_roll_60m_std,0.2552950102916235,61
ghi_lag_50m,0.23877760162990744,62
kt_roll60m_mean,0.2243569752192067,63
ghi_lag_60m,0.22408634462320628,64
aws_rain_mm,0.20994096400110843,65
ghi_roll_30m_mean,0.20530750156256797,66
kt_lag_60m,0.1956651605978093,67
kt_roll30m_std,0.19277936986917107,68
ghi_lag_30m,0.18858707271909095,69
accel_clp_cot_20m,0.18836085831853722,70
kt_lag_20m,0.1869023084255047,71
kt_lag_10m,0.1829089338701023,72
ghi_lag_20m,0.16442318209335688,73
ghi_roll_30m_std,0.16073868226018603,74
ghi_roll_60m_mean,0.15797926522300498,75
accel_kt_20m,0.12304633407832256,76
kt_lag_30m,0.1208534334817338,77
ghi_now,0.1124191936704711,78
accel_ghi_20m,0.08255367618581787,79
accel_kt_60m,0.07935349785387766,80
clp_cloud_present,0.061839584354423126,81
accel_ghi_60m,0.059585045357943865,82
ghi_delta_10m,0.040660997308586494,83
daylight_flag,0.0,84
