k,r2,mae,rmse,skill_vs_sp,best_iter,delta_vs_ceiling,delta_vs_f1,delta_vs_v10,meets_threshold,top_features
10,0.7313,118.7,155.7,0.1627,571,-0.0317,-0.0607,-0.0899,False,"smart_persist,ghi_cs_t60,elev_sin_t60,clp_cot,hour_sin,dni_fraction,dni_now,doy_cos,doy_sin,clp_cot_lag_10m"
15,0.7495,113.3,150.3,0.1916,678,-0.0135,-0.0425,-0.0717,False,"smart_persist,ghi_cs_t60,elev_sin_t60,clp_cot,hour_sin,dni_fraction,dni_now,doy_cos,doy_sin,clp_cot_lag_10m,clp_ctt_k,kt_now,clp_cer,clp_cot_lag_30m,clp_cot_delta_180m"
20,0.7587,109.9,147.6,0.2065,672,-0.0043,-0.0333,-0.0625,False,"smart_persist,ghi_cs_t60,elev_sin_t60,clp_cot,hour_sin,dni_fraction,dni_now,doy_cos,doy_sin,clp_cot_lag_10m,clp_ctt_k,kt_now,clp_cer,clp_cot_lag_30m,clp_cot_delta_180m,clp_cot_lag_20m,ghi_lag_180m,dni_roll_180m_mean,ghi_roll_180m_max,clp_cot_delta_10m"
25,0.7583,111.6,147.7,0.2059,654,-0.0047,-0.0337,-0.0629,False,"smart_persist,ghi_cs_t60,elev_sin_t60,clp_cot,hour_sin,dni_fraction,dni_now,doy_cos,doy_sin,clp_cot_lag_10m,clp_ctt_k,kt_now,clp_cer,clp_cot_lag_30m,clp_cot_delta_180m,clp_cot_lag_20m,ghi_lag_180m,dni_roll_180m_mean,ghi_roll_180m_max,clp_cot_delta_10m,aws_ws_roll_180m_mean,aws_pressure_lag_60m,dhi_roll_180m_mean,aws_rh_roll_180m_mean,dhi_fraction"
30,0.7571,111.6,148.0,0.2039,697,-0.0059,-0.0349,-0.0641,False,"smart_persist,ghi_cs_t60,elev_sin_t60,clp_cot,hour_sin,dni_fraction,dni_now,doy_cos,doy_sin,clp_cot_lag_10m,clp_ctt_k,kt_now,clp_cer,clp_cot_lag_30m,clp_cot_delta_180m,clp_cot_lag_20m,ghi_lag_180m,dni_roll_180m_mean,ghi_roll_180m_max,clp_cot_delta_10m,aws_ws_roll_180m_mean,aws_pressure_lag_60m,dhi_roll_180m_mean,aws_rh_roll_180m_mean,dhi_fraction,clear_sky_ghi_now,clp_cot_roll_180m_mean,clp_cot_delta_60m,aws_temp_roll_180m_mean,clp_cth_roll_180m_mean"
35,0.7606,111.0,147.0,0.2097,674,-0.0024,-0.0314,-0.0606,False,"smart_persist,ghi_cs_t60,elev_sin_t60,clp_cot,hour_sin,dni_fraction,dni_now,doy_cos,doy_sin,clp_cot_lag_10m,clp_ctt_k,kt_now,clp_cer,clp_cot_lag_30m,clp_cot_delta_180m,clp_cot_lag_20m,ghi_lag_180m,dni_roll_180m_mean,ghi_roll_180m_max,clp_cot_delta_10m,aws_ws_roll_180m_mean,aws_pressure_lag_60m,dhi_roll_180m_mean,aws_rh_roll_180m_mean,dhi_fraction,clear_sky_ghi_now,clp_cot_roll_180m_mean,clp_cot_delta_60m,aws_temp_roll_180m_mean,clp_cth_roll_180m_mean,ghi_delta_60m,clp_cot_delta_30m,smart_persist_avg,ghi_lag_120m,aws_temp_c"
40,0.7628,110.0,146.3,0.2134,682,-0.0002,-0.0292,-0.0584,True,"smart_persist,ghi_cs_t60,elev_sin_t60,clp_cot,hour_sin,dni_fraction,dni_now,doy_cos,doy_sin,clp_cot_lag_10m,clp_ctt_k,kt_now,clp_cer,clp_cot_lag_30m,clp_cot_delta_180m,clp_cot_lag_20m,ghi_lag_180m,dni_roll_180m_mean,ghi_roll_180m_max,clp_cot_delta_10m,aws_ws_roll_180m_mean,aws_pressure_lag_60m,dhi_roll_180m_mean,aws_rh_roll_180m_mean,dhi_fraction,clear_sky_ghi_now,clp_cot_roll_180m_mean,clp_cot_delta_60m,aws_temp_roll_180m_mean,clp_cth_roll_180m_mean,ghi_delta_60m,clp_cot_delta_30m,smart_persist_avg,ghi_lag_120m,aws_temp_c,ghi_roll_180m_std,month_sin,solar_elev_sin_clip,ghi_roll_60m_max,cloud_height_temp_interaction"
50,0.7612,111.0,146.8,0.2106,677,-0.0018,-0.0308,-0.06,False,"smart_persist,ghi_cs_t60,elev_sin_t60,clp_cot,hour_sin,dni_fraction,dni_now,doy_cos,doy_sin,clp_cot_lag_10m,clp_ctt_k,kt_now,clp_cer,clp_cot_lag_30m,clp_cot_delta_180m,clp_cot_lag_20m,ghi_lag_180m,dni_roll_180m_mean,ghi_roll_180m_max,clp_cot_delta_10m,aws_ws_roll_180m_mean,aws_pressure_lag_60m,dhi_roll_180m_mean,aws_rh_roll_180m_mean,dhi_fraction,clear_sky_ghi_now,clp_cot_roll_180m_mean,clp_cot_delta_60m,aws_temp_roll_180m_mean,clp_cth_roll_180m_mean,ghi_delta_60m,clp_cot_delta_30m,smart_persist_avg,ghi_lag_120m,aws_temp_c,ghi_roll_180m_std,month_sin,solar_elev_sin_clip,ghi_roll_60m_max,cloud_height_temp_interaction,clp_cth_m,aws_pressure_hpa,dhi_now,ghi_roll_180m_min,month_cos,clp_cth_delta_180m,ghi_roll_180m_mean,ghi_roll_60m_min,nett_rad_now,aws_rh_pct"
65,0.7621,110.8,146.5,0.2121,815,-0.0009,-0.0299,-0.0591,True,"smart_persist,ghi_cs_t60,elev_sin_t60,clp_cot,hour_sin,dni_fraction,dni_now,doy_cos,doy_sin,clp_cot_lag_10m,clp_ctt_k,kt_now,clp_cer,clp_cot_lag_30m,clp_cot_delta_180m,clp_cot_lag_20m,ghi_lag_180m,dni_roll_180m_mean,ghi_roll_180m_max,clp_cot_delta_10m,aws_ws_roll_180m_mean,aws_pressure_lag_60m,dhi_roll_180m_mean,aws_rh_roll_180m_mean,dhi_fraction,clear_sky_ghi_now,clp_cot_roll_180m_mean,clp_cot_delta_60m,aws_temp_roll_180m_mean,clp_cth_roll_180m_mean,ghi_delta_60m,clp_cot_delta_30m,smart_persist_avg,ghi_lag_120m,aws_temp_c,ghi_roll_180m_std,month_sin,solar_elev_sin_clip,ghi_roll_60m_max,cloud_height_temp_interaction,clp_cth_m,aws_pressure_hpa,dhi_now,ghi_roll_180m_min,month_cos,clp_cth_delta_180m,ghi_roll_180m_mean,ghi_roll_60m_min,nett_rad_now,aws_rh_pct,clp_cot_lag_60m,aws_ws_avg,ghi_roll_180m_range,kt_roll30m_mean,ghi_ramp_ratio_60m,hour_cos,ghi_roll_60m_range,reflected_now,clp_cth_lag_60m,ghi_lag_10m,ghi_roll_60m_std,ghi_lag_50m,kt_roll60m_mean,ghi_lag_60m,aws_rain_mm"
84,0.7627,110.9,146.3,0.2132,915,-0.0003,-0.0293,-0.0585,True,"smart_persist,ghi_cs_t60,elev_sin_t60,clp_cot,hour_sin,dni_fraction,dni_now,doy_cos,doy_sin,clp_cot_lag_10m,clp_ctt_k,kt_now,clp_cer,clp_cot_lag_30m,clp_cot_delta_180m,clp_cot_lag_20m,ghi_lag_180m,dni_roll_180m_mean,ghi_roll_180m_max,clp_cot_delta_10m,aws_ws_roll_180m_mean,aws_pressure_lag_60m,dhi_roll_180m_mean,aws_rh_roll_180m_mean,dhi_fraction,clear_sky_ghi_now,clp_cot_roll_180m_mean,clp_cot_delta_60m,aws_temp_roll_180m_mean,clp_cth_roll_180m_mean,ghi_delta_60m,clp_cot_delta_30m,smart_persist_avg,ghi_lag_120m,aws_temp_c,ghi_roll_180m_std,month_sin,solar_elev_sin_clip,ghi_roll_60m_max,cloud_height_temp_interaction,clp_cth_m,aws_pressure_hpa,dhi_now,ghi_roll_180m_min,month_cos,clp_cth_delta_180m,ghi_roll_180m_mean,ghi_roll_60m_min,nett_rad_now,aws_rh_pct,clp_cot_lag_60m,aws_ws_avg,ghi_roll_180m_range,kt_roll30m_mean,ghi_ramp_ratio_60m,hour_cos,ghi_roll_60m_range,reflected_now,clp_cth_lag_60m,ghi_lag_10m,ghi_roll_60m_std,ghi_lag_50m,kt_roll60m_mean,ghi_lag_60m,aws_rain_mm,ghi_roll_30m_mean,kt_lag_60m,kt_roll30m_std,ghi_lag_30m,accel_clp_cot_20m,kt_lag_20m,kt_lag_10m,ghi_lag_20m,ghi_roll_30m_std,ghi_roll_60m_mean,accel_kt_20m,kt_lag_30m,ghi_now,accel_ghi_20m,accel_kt_60m,clp_cloud_present,accel_ghi_60m,ghi_delta_10m,daylight_flag"
