model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,split
persistence,23969,178.76842323417748,229.60757572537165,0.44292495520112307,0.6575640493971385,0.0,valid_2024
pred_raw,23969,90.40965199742523,133.65266053777208,0.811245856343939,0.9342601650723167,0.4179083154571913,valid_2024
pred_isotonic,23969,89.93127916772642,133.0316136886816,0.8129959570793914,-2.1097211155482e-14,0.4206131340901501,valid_2024
pred_bin_bias,23969,88.41795606465982,134.89997174425594,0.8077063270142596,11.345221263817669,0.4124759546017476,valid_2024
pred_high_residual_cal,23969,80.73388769054574,124.65917452970419,0.8357937167829061,6.8437849773122705,0.45707725829218215,valid_2024
pred_high_residual_cal_full,23969,78.16454123175461,122.81716407790074,0.8406106103425071,8.815177932662218,0.4650996871949925,valid_2024
pred_blend_raw_highcal_50,23969,85.39654757694116,128.5388076403225,0.8254138405534668,3.8890225711922937,0.44018045905390857,valid_2024
pred_blend_iso_highcal_50,23969,85.06410043108782,128.13525998224205,0.8265083464406917,3.4218924886561255,0.44193801281408196,valid_2024
persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299854,-0.9050083327254114,0.0,test_2025
pred_raw,23716,110.72413333225661,147.30923765544588,0.7664164378501148,10.661303161117845,0.35625864217459946,test_2025
pred_isotonic,23716,110.52469706468145,147.48766545464795,0.7658502406090828,10.044135325263213,0.3554789127050818,test_2025
pred_bin_bias,23716,108.31049816817462,148.5712853907272,0.7623969152694873,21.65190903138,0.35074349366333823,test_2025
pred_high_residual_cal,23716,112.09973649377271,151.58380906014142,0.7526636513407352,19.93156396698865,0.3375787654474077,test_2025
pred_high_residual_cal_full,23716,113.068761331292,153.97969573362315,0.7447832185807135,23.021650902278925,0.32710874085879094,test_2025
pred_blend_raw_highcal_50,23716,111.12561263517132,148.884468756986,0.7613941405524286,15.29643356405325,0.3493748823755972,test_2025
pred_blend_iso_highcal_50,23716,110.9796812930215,148.9122535419747,0.7613050751023447,14.987849646125932,0.34925346286722014,test_2025
