model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,segment_col,segment_val
persistence,3495,133.01735610872674,193.59029299257597,-39.53436549630386,115.3062643776824,0.0,target_ghi_bin,0-100
pred_raw,3495,63.726489950428785,101.28325409942424,-10.095107574982112,61.19873314809208,0.47681646360590835,target_ghi_bin,0-100
pred_isotonic,3495,59.92487126433366,99.73851232493521,-9.759249958764935,55.49395632315814,0.4847959017823269,target_ghi_bin,0-100
pred_bin_bias,3495,58.18652094908291,98.89793123571215,-9.578659512507116,53.264512593978424,0.48913796396028597,target_ghi_bin,0-100
pred_high_residual_cal,3495,64.04953127351433,102.61415726465964,-10.388611825447978,61.52801690956322,0.46994161908420273,target_ghi_bin,0-100
pred_high_residual_cal_full,3495,64.17549402060865,103.12654937664873,-10.502631261199031,61.63777816338693,0.467294832904646,target_ghi_bin,0-100
pred_blend_raw_highcal_50,3495,63.888010611971566,101.9095881623018,-10.232755814567428,61.363375028827654,0.47358110478085824,target_ghi_bin,0-100
pred_blend_iso_highcal_50,3495,61.87734649657953,101.08630961372728,-10.052000828462166,58.510986616360675,0.47783378985017677,target_ghi_bin,0-100
persistence,5261,188.64454242179895,246.25580278860463,-17.390577516044694,72.42618176793084,0.0,target_ghi_bin,100-300
pred_raw,5261,101.82434472295981,145.31064553281894,-5.403498109702722,84.80446327990128,0.4099199130037998,target_ghi_bin,100-300
pred_isotonic,5261,102.97920095754797,146.97223052779833,-5.550779662812123,83.9067014664124,0.4031725187245033,target_ghi_bin,100-300
pred_bin_bias,5261,104.3679759355807,151.15420300443856,-5.928877398356616,82.48724380284511,0.38619028955758217,target_ghi_bin,100-300
pred_high_residual_cal,5261,104.03632794409681,150.81152568639007,-5.89749649534419,87.0048655874177,0.38758183978368044,target_ghi_bin,100-300
pred_high_residual_cal_full,5261,104.87418297327417,152.88386754055685,-6.088359617564023,87.73833302325652,0.3791664366512484,target_ghi_bin,100-300
pred_blend_raw_highcal_50,5261,102.8600771077577,147.92247790978428,-5.635761493582575,85.90466443365949,0.3993137370380402,target_ghi_bin,100-300
pred_blend_iso_highcal_50,5261,103.39235140848095,148.7056992104308,-5.706217709531921,85.45578352691506,0.39613321787147715,target_ghi_bin,100-300
persistence,6696,195.7411657224877,231.9395802436641,-6.2432376730117,-2.388763094052834,0.0,target_ghi_bin,300-600
pred_raw,6696,126.2395793650106,160.64504043104702,-2.474702659366947,51.61248977484109,0.30738410295353047,target_ghi_bin,300-600
pred_isotonic,6696,126.07354479287716,160.1784998286387,-2.454549707159027,54.42292267218749,0.3093955776743098,target_ghi_bin,300-600
pred_bin_bias,6696,135.18177865506422,173.06105125474056,-3.032567793494856,65.0854329203917,0.2538528737832012,target_ghi_bin,300-600
pred_high_residual_cal,6696,135.37440919225224,174.47464156341826,-3.098714157384599,61.417827422951106,0.24775822487854837,target_ghi_bin,300-600
pred_high_residual_cal_full,6696,138.65434763018823,179.65703980820655,-3.3458174698540226,64.68627330565444,0.22541448242914008,target_ghi_bin,300-600
pred_blend_raw_highcal_50,6696,130.6614543176346,167.21473628154413,-2.7647149509900326,56.515158598896086,0.2790590717380935,target_ghi_bin,300-600
pred_blend_iso_highcal_50,6696,130.546643029796,166.91815722659854,-2.751372282036647,57.92037504756929,0.2803377627430269,target_ghi_bin,300-600
persistence,6004,176.38955949737212,219.07267305376746,-5.461071456401969,-74.46307382115627,0.0,target_ghi_bin,600-900
pred_raw,6004,108.32054509348346,134.6357783715573,-1.4403330421659826,-64.67131490773964,0.3854286958989478,target_ghi_bin,600-900
