model,feature,importance
direct_all_features,clear_sky_ghi_target_60m,690
direct_all_features,clp_cot,606
direct_all_features,clp_cot_delta_180m,230
direct_all_features,dni_now,204
direct_all_features,clp_cer,192
direct_all_features,dni_fraction,192
direct_all_features,kt_now,188
direct_all_features,month_cos,179
direct_all_features,clp_cot_delta_60m,178
direct_all_features,ghi_roll_180m_max,156
direct_all_features,cloud_height_temp_interaction,144
direct_all_features,synop_dewpoint_c,136
direct_all_features,month_sin,131
direct_all_features,dhi_roll_180m_mean,131
direct_all_features,aws_pressure_lag_60m,121
direct_all_features,clp_cot_roll_180m_mean,118
direct_all_features,synop_wind_dir_deg,114
direct_all_features,synop_temp_c,110
direct_all_features,aws_ws_roll_180m_mean,109
direct_all_features,nett_rad_now,108
direct_all_features,aws_pressure_hpa,106
direct_all_features,clp_cth_roll_180m_mean,105
direct_all_features,dhi_fraction,103
direct_all_features,ghi_roll_180m_range,100
direct_all_features,ghi_now,97
direct_all_features,clp_ctt_k,96
direct_all_features,clp_cth_delta_180m,92
direct_all_features,dhi_now,88
direct_all_features,temp_rh_interaction,86
direct_all_features,ghi_roll_60m_max,85
direct_all_features,syn_weather_cloud_rain_proxy,83
direct_all_features,clp_cth_m,82
direct_all_features,ghi_roll_180m_std,81
direct_all_features,syn_cloud_cover_oktas_m,80
direct_all_features,clp_cth_delta_60m,80
direct_all_features,dni_roll_180m_mean,80
direct_all_features,aws_temp_roll_180m_mean,80
direct_all_features,aws_rh_roll_180m_mean,75
direct_all_features,solar_elev_deg,75
direct_all_features,syn_cloud_low_cover_oktas,75
direct_all_features,ghi_to_aws_sr_ratio,73
direct_all_features,hour_sin,69
direct_all_features,solar_elev_sin_clip,67
direct_all_features,ghi_roll_30m_max,65
direct_all_features,wind_u,65
direct_all_features,ghi_roll_60m_min,64
direct_all_features,ghi_roll_180m_min,63
direct_all_features,ghi_delta_60m,56
direct_all_features,ghi_lag_180m,52
direct_all_features,clp_cth_lag_60m,52
direct_all_features,dhi_lag_60m,51
direct_all_features,clp_cot_lag_60m,51
direct_all_features,ghi_ramp_ratio_60m,49
direct_all_features,synop_rh_pct,48
direct_all_features,ghi_roll_180m_mean,47
direct_all_features,syn_cloud_med_cover_oktas,47
direct_all_features,ghi_roll_60m_std,46
