model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,split
persistence,61498,174.92902178826623,221.7844243992055,0.4728179917354832,-1.179655540266969,0.0,train
direct_all_features,61498,81.44270027889843,115.31097126032594,0.8574918328263406,-0.03845539288863487,0.4800763328051858,train
persistence,23969,178.76842323417748,229.60757572537165,0.44292495520112307,0.6575640493971382,0.0,valid
direct_all_features,23969,90.69722151640619,134.03774749776792,0.81015659297275,0.0072449406641915785,0.41623116278146066,valid
persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299854,-0.9050083327254114,0.0,test
direct_all_features,23716,108.66195064641367,145.97985349933742,0.770613338816756,5.352214938778555,0.3620680508399712,test
persistence,61498,174.92902178826623,221.7844243992055,0.4728179917354832,-1.179655540266969,0.0,train
direct_no_cloud_features,61498,87.78156152163703,124.33243544650283,0.8343210339079074,-0.017002066180371218,0.43939960714866044,train
persistence,23969,178.76842323417748,229.60757572537165,0.44292495520112307,0.6575640493971382,0.0,valid
direct_no_cloud_features,23969,98.42223563968749,144.43738317145917,0.7795548742475791,2.5596734632853977,0.37093807678097945,valid
persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299854,-0.9050083327254114,0.0,test
direct_no_cloud_features,23716,137.00468245998925,177.76280916306817,0.6598549754951657,2.5779073862120843,0.2231765369042995,test
persistence,61498,174.92902178826623,221.7844243992055,0.4728179917354832,-1.179655540266969,0.0,train
direct_rad_met_features,61498,85.29477861556964,121.51517884951575,0.8417442293822762,0.012507836846771373,0.4521022872607503,train
persistence,23969,178.76842323417748,229.60757572537165,0.44292495520112307,0.6575640493971382,0.0,valid
direct_rad_met_features,23969,97.59890568362111,143.62237467293772,0.78203564141915,2.1415386760565496,0.37448764824414527,valid
persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299854,-0.9050083327254114,0.0,test
direct_rad_met_features,23716,138.97755157693217,178.82301518813122,0.6557855166999924,6.372829821112398,0.21854343665199139,test
persistence,61498,174.92902178826623,221.7844243992055,0.4728179917354832,-1.179655540266969,0.0,train
direct_regularized_all,61498,83.3468897402667,119.07653949986698,0.8480324351615193,0.019049892406711073,0.4630978265383836,train
persistence,23969,178.76842323417748,229.60757572537165,0.44292495520112307,0.6575640493971382,0.0,valid
direct_regularized_all,23969,90.41951818306926,133.73476203521486,0.8110138855383302,0.9784369952470796,0.4175507423362549,valid
persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299854,-0.9050083327254114,0.0,test
direct_regularized_all,23716,107.98416633137187,144.6572868289737,0.7747509625933333,6.7855237614666635,0.36784766709313477,test
persistence,61498,174.92902178826623,221.7844243992055,0.4728179917354832,-1.179655540266969,0.0,train
direct_deeper_all,61498,78.38867263452254,110.74909721238575,0.86854446301962,0.02030810443246232,0.5006452887194612,train
persistence,23969,178.76842323417748,229.60757572537165,0.44292495520112307,0.6575640493971382,0.0,valid
direct_deeper_all,23969,90.55763227984164,133.9413340945746,0.8104296036200931,-0.6970927594860616,0.4166510679300114,valid
persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299854,-0.9050083327254114,0.0,test
direct_deeper_all,23716,108.61208507760038,146.1182662798835,0.7701781404390133,5.776779048387605,0.36146318699906577,test
persistence,61498,174.92902178826623,221.7844243992055,0.4728179917354832,-1.179655540266969,0.0,train
direct_smooth_all,61498,85.02806944753765,128.96356259137193,0.8217487689007524,6.066495091425238,0.4185183971294518,train
persistence,23969,178.76842323417748,229.60757572537165,0.44292495520112307,0.6575640493971382,0.0,valid
direct_smooth_all,23969,88.45786657999001,136.40538278869656,0.8033905923039801,9.824824720550298,0.4059195026219522,valid
persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299854,-0.9050083327254114,0.0,test
direct_smooth_all,23716,112.89576919293735,153.38787966464005,0.7467412836386195,21.026892703646574,0.32969497703714357,test
persistence,61498,174.92902178826623,221.7844243992055,0.4728179917354832,-1.179655540266969,0.0,train
direct_top20,61498,83.01476048851441,118.6726934553384,0.8490614779942793,0.01912822123529758,0.46491872106523124,train
persistence,23969,178.76842323417748,229.60757572537165,0.44292495520112307,0.6575640493971382,0.0,valid
direct_top20,23969,91.5207657132795,134.20504707349252,0.809682390098439,4.5749337135986865,0.41550253013423166,valid
persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299854,-0.9050083327254114,0.0,test
direct_top20,23716,110.86623015114684,147.68986419525572,0.7652077836270934,10.175616380506492,0.3545953042233525,test
persistence,61498,174.92902178826623,221.7844243992055,0.4728179917354832,-1.179655540266969,0.0,train
direct_top40,61498,83.36531714701086,119.08303744007995,0.8480158491388184,0.03498073970700305,0.46306852808683285,train
persistence,23969,178.76842323417748,229.60757572537165,0.44292495520112307,0.6575640493971382,0.0,valid
direct_top40,23969,91.34888265703952,133.9074813995314,0.8105254165799538,4.542900464249676,0.4167985051168561,valid
persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299854,-0.9050083327254114,0.0,test
direct_top40,23716,112.01647593526019,147.13163355853308,0.7669793406216416,12.104803579330238,0.3570347720651731,test
persistence,61498,174.92902178826623,221.7844243992055,0.4728179917354832,-1.179655540266969,0.0,train
direct_top60,61498,81.2055138322653,116.18733678101479,0.8553174720861015,0.0159197691884219,0.4761249032895071,train
persistence,23969,178.76842323417748,229.60757572537165,0.44292495520112307,0.6575640493971382,0.0,valid
direct_top60,23969,90.31435159158734,133.56825976962574,0.8114841750499427,-1.4256976999237156,0.4182759024929401,valid
persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299854,-0.9050083327254114,0.0,test
direct_top60,23716,108.03120114843563,145.10988082292457,0.7733392695473378,7.875288960466213,0.36586983137253304,test
persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299854,-0.9050083327254114,0.0,test_summary
direct_all_features,23716,108.66195064641367,145.97985349933742,0.770613338816756,5.352214938778555,0.3620680508399712,test_summary
direct_no_cloud_features,23716,137.00468245998925,177.76280916306817,0.6598549754951657,2.5779073862120843,0.2231765369042995,test_summary
direct_rad_met_features,23716,138.97755157693217,178.82301518813122,0.6557855166999924,6.372829821112398,0.21854343665199139,test_summary
direct_regularized_all,23716,107.98416633137187,144.6572868289737,0.7747509625933333,6.7855237614666635,0.36784766709313477,test_summary
direct_deeper_all,23716,108.61208507760038,146.1182662798835,0.7701781404390133,5.776779048387605,0.36146318699906577,test_summary
direct_smooth_all,23716,112.89576919293735,153.38787966464005,0.7467412836386195,21.026892703646574,0.32969497703714357,test_summary
direct_top20,23716,110.86623015114684,147.68986419525572,0.7652077836270934,10.175616380506492,0.3545953042233525,test_summary
direct_top40,23716,112.01647593526019,147.13163355853308,0.7669793406216416,12.104803579330238,0.3570347720651731,test_summary
direct_top60,23716,108.03120114843563,145.10988082292457,0.7733392695473378,7.875288960466213,0.36586983137253304,test_summary
ensemble_direct_mean,23716,114.54717983983292,150.67204149832332,0.7556301295756286,8.671984064434092,0.3415631896261465,test_summary
ensemble_best2_mean,23716,107.91501574174131,144.72813335341496,0.7745302752078508,7.330406360966437,0.36753806778648646,test_summary
