feature,importance_direct,importance_residual
clp_cot,944,906
solar_elev_deg,742,491
solar_elev_sin_clip,669,398
hour_sin,621,413
ghi_roll_180m_max,607,432
dni_now,584,933
dhi_roll_180m_mean,550,483
dni_fraction,530,337
month_cos,476,342
synop_temp_c,465,352
aws_ws_roll_180m_mean,451,354
clp_cer,429,381
clp_cot_roll_180m_mean,405,411
dni_roll_180m_mean,404,377
ghi_roll_180m_std,402,338
synop_dewpoint_c,399,400
nett_rad_now,396,309
clp_cth_roll_180m_mean,395,326
aws_pressure_lag_60m,392,328
clp_cot_delta_180m,389,373
temp_rh_interaction,383,316
month_sin,381,319
aws_rh_roll_180m_mean,381,306
clp_cot_delta_10m,370,267
kt_now,368,1192
aws_temp_roll_180m_mean,364,294
synop_wind_dir_deg,360,343
aws_pressure_hpa,358,275
clp_cot_lag_10m,334,378
ghi_now,326,408
cloud_height_temp_interaction,315,283
ghi_lag_180m,313,223
ghi_roll_180m_min,306,368
clp_cth_delta_180m,289,266
ghi_delta_60m,279,377
clp_cot_delta_30m,251,199
clp_ctt_k,223,235
clp_cot_delta_60m,221,232
clp_cth_m,194,207
reflected_now,150,388
accel_ghi_20m,73,90
accel_kt_20m,50,51
accel_clp_cot_20m,39,31
