model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence
train_persistence,66247,164.71950768147175,213.51127925336246,0.5530429582310319,2.3148164300972485,0.0
train_lgbm_direct,66247,75.26661072813195,110.49077671858711,0.8803049496440958,0.0407982713588005,0.48250613688903243
train_lgbm_residual,66247,76.1415548557807,112.17823944482984,0.8766209624017995,0.37356133601917635,0.4746027477465774
train_blend_70persistence_30_lgbm_residual,66247,129.12901549074058,171.91017745945695,0.710247417151491,1.732439901873803,0.1948426422219114
train_blend_50persistence_50_lgbm_residual,66247,108.07092968144266,147.59502757941326,0.7864165527797833,1.3441888830582118,0.30872491563188054
train_blend_30persistence_70_lgbm_residual,66247,90.73756678100597,127.87441311206742,0.839678618819798,0.9559378642425744,0.40108825370145595
valid_persistence,25976,167.1933507352941,220.25950307501043,0.5280736943079425,4.8372075415768405,0.0
valid_lgbm_direct,25976,84.42110721825253,128.96604506340114,0.8382085231140204,1.5833360365100617,0.4144813582936254
valid_lgbm_residual,25976,84.49463087183864,129.1885650758527,0.8376497264090264,2.658035249932542,0.41347109535674875
valid_blend_70persistence_30_lgbm_residual,25976,133.0750853782416,180.57692149690283,0.6828027849823479,4.183455854083527,0.18016285801114107
valid_blend_50persistence_50_lgbm_residual,25976,113.37427406690121,158.21473196224488,0.7565001401728658,3.7476213957546904,0.2816894174669772
valid_blend_30persistence_70_lgbm_residual,25976,97.39710603230455,140.99006786969613,0.8066331978227815,3.3117869374258064,0.3598911016262427
test_persistence,25336,167.50815615875538,220.18781700495907,0.5212516539209822,2.3526225205669453,0.0
test_lgbm_direct,25336,94.54689713692586,136.02757308827543,0.8172848265378506,0.19324297627819095,0.38222025660388004
test_lgbm_residual,25336,94.10876128822584,137.4035825946307,0.8135695585339224,-10.148726392783198,0.3759710030117783
test_blend_70persistence_30_lgbm_residual,25336,132.65775004340577,180.68583337975573,0.6776193835542048,-1.3977821534381205,0.1794013136717445
test_blend_50persistence_50_lgbm_residual,25336,114.0045712705359,159.3804627196126,0.7491634136671433,-3.8980519361081263,0.2761613022575947
test_blend_30persistence_70_lgbm_residual,25336,100.60865953487519,144.2435381052091,0.7945465453993809,-6.398321718778178,0.3449068160662111
testseq_persistence,25332,167.4209921447045,219.95756229771453,0.522194683290182,2.2393799444383675,0.0
testseq_lgbm_residual_on_seq_rows,25332,93.9911990661368,136.96854796397722,0.8147258260638575,-10.282751189904763,0.37729557223138777
testseq_lstm_residual,25332,104.7984010416769,147.0811927810497,0.7863575899288486,-5.138351441811907,0.33132013628167967
testseq_transformer_residual,25332,102.0483864890159,144.04492176562388,0.7950872006990292,-2.361482029226199,0.34512403092257504
testseq_ensemble_lgbm_lstm,25332,95.51562646162179,136.70959554418857,0.8154257216762453,-7.710551315858334,0.3784728557813761
testseq_ensemble_lgbm_transformer,25332,93.91682901142107,135.5917077129168,0.8184319442440564,-6.322116609565482,0.3835551444719496
testseq_ensemble_lgbm_lstm_transformer,25332,95.83883510594698,136.86266206443955,0.8150121741324186,-5.92752822031429,0.3777769646346839
testseq_blend_50persistence_50_ensemble_all,25332,114.86326470928891,160.41148695314635,0.7458769194641477,-1.844074137937961,0.27071619962750826
