model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,hour
persistence,48,95.98715,105.39268182960451,-4.741059236798452,-95.98715,0.0,5
lgbm_direct,48,30.80612048964156,40.8184396931301,0.1388398680794598,-10.451330932614049,0.6127013851006844,5
lgbm_residual,48,32.75824348458062,43.88229879900795,0.004709504002173737,-18.674096916077385,0.5836304946679749,5
blend_70persistence_30_lgbm_residual,48,73.66922564495188,83.99478784053251,-2.646496419188256,-72.79323407482322,0.20303016886568492,5
blend_50persistence_50_lgbm_residual,48,58.894301957698275,70.50895126233608,-1.5695651100052728,-57.3306234580387,0.33098816693617605,5
blend_30persistence_70_lgbm_residual,48,45.43383710947003,58.15788760121652,-0.7481889228680068,-41.86801284125417,0.448179070960123,5
persistence,1673,135.81309581589957,153.30362951794987,-1.9475996724020304,-135.4783701733413,0.0,6
lgbm_direct,1673,47.762757279013876,62.46293929745163,0.5106625447657444,-0.7062844456687114,0.5925540739390125,6
lgbm_residual,1673,48.73898142440333,62.55822077007439,0.5091685275200826,0.6952862577929677,0.5919325526291624,6
blend_70persistence_30_lgbm_residual,1673,96.6321025142901,116.0306671435612,-0.6885316446207776,-94.62627324400103,0.24313163681505978,6
blend_50persistence_50_lgbm_residual,1673,73.81479396935713,93.55529715440046,-0.09774227743547526,-67.39154195777417,0.3897385375116227,6
blend_30persistence_70_lgbm_residual,1673,56.475972691456754,75.01817768245313,0.29417563534806745,-40.156810671547326,0.5106562191753623,6
persistence,2112,184.53260860690236,210.39519120698898,-1.2112654438404897,-178.24514847432658,0.0,7
lgbm_direct,2112,76.59208741309578,104.15505695396871,0.4580864854112765,-1.2198949877027108,0.5049551448564247,7
lgbm_residual,2112,75.54013534248493,101.29628361095803,0.48742634043715527,-1.664553746770732,0.5185427811831418,7
blend_70persistence_30_lgbm_residual,2112,136.9320575078509,164.80436681242315,-0.35677143141850665,-125.27097005605984,0.2166913803163547,7
blend_50persistence_50_lgbm_residual,2112,109.5225679547389,138.00135245198035,0.04865958774915369,-89.95485111054867,0.3440850446234145,7
