experiment,feature,importance_direct,importance_residual
all_daylight,clp_cot,582,740
all_daylight,hour_sin,382,268
all_daylight,solar_elev_deg,325,252
all_daylight,solar_elev_sin_clip,284,203
all_daylight,month_cos,251,216
all_daylight,dni_now,227,593
all_daylight,clp_cot_delta_180m,223,309
all_daylight,clp_cot_delta_60m,205,234
all_daylight,dni_fraction,190,159
all_daylight,clp_cer,176,225
all_daylight,nett_rad_now,174,118
all_daylight,clp_cot_roll_180m_mean,168,200
all_daylight,synop_dewpoint_c,168,177
all_daylight,month_sin,165,205
all_daylight,ghi_now,162,222
all_daylight,aws_ws_roll_180m_mean,160,127
all_daylight,ghi_roll_180m_max,158,147
all_daylight,aws_pressure_lag_60m,157,175
all_daylight,dhi_roll_180m_mean,153,191
all_daylight,cloud_height_temp_interaction,153,188
all_daylight,aws_pressure_hpa,148,137
all_daylight,ghi_clear_proxy,144,938
all_daylight,dni_roll_180m_mean,134,146
all_daylight,synop_temp_c,131,131
all_daylight,ghi_lag_180m,127,118
all_daylight,clp_cth_roll_180m_mean,125,170
all_daylight,temp_rh_interaction,112,125
all_daylight,clp_ctt_k,111,129
all_daylight,clp_cth_m,108,109
all_daylight,synop_wind_dir_deg,105,128
all_daylight,aws_temp_roll_180m_mean,103,108
all_daylight,clp_cth_delta_180m,100,99
all_daylight,ghi_roll_180m_std,98,120
all_daylight,aws_rh_roll_180m_mean,98,112
all_daylight,ghi_roll_180m_min,96,174
all_daylight,ghi_roll_180m_mean,96,84
all_daylight,ghi_roll_180m_range,92,86
all_daylight,aws_rain_sum_180m,88,57
all_daylight,clp_cth_delta_60m,85,113
all_daylight,dhi_now,84,77
all_daylight,wind_u,78,112
all_daylight,synop_rh_pct,78,83
all_daylight,ghi_roll_30m_max,77,110
all_daylight,dhi_lag_60m,75,60
all_daylight,solar_elev_sin,75,60
all_daylight,ghi_roll_60m_std,74,72
all_daylight,ghi_delta_60m,73,127
all_daylight,dhi_fraction,71,144
all_daylight,ghi_roll_60m_max,68,101
all_daylight,ghi_roll_60m_range,67,99
all_daylight,ghi_to_aws_sr_ratio,66,34
all_daylight,ghi_roll_60m_min,65,77
all_daylight,synop_visibility,65,61
all_daylight,clp_cot_lag_60m,63,81
all_daylight,dni_lag_60m,62,85
all_daylight,wind_v,62,64
all_daylight,clp_cth_lag_60m,61,89
all_daylight,ghi_lag_120m,61,65
all_daylight,aws_temp_lag_60m,61,54
all_daylight,aws_temp_min_c,56,60
all_daylight,aws_rh_delta_60m,53,36
all_daylight,aws_rh_lag_60m,52,70
all_daylight,ghi_roll_60m_mean,50,46
all_daylight,aws_temp_delta_60m,48,50
all_daylight,reflected_now,46,183
all_daylight,aws_temp_c,45,40
all_daylight,ghi_roll_30m_min,43,56
all_daylight,ghi_roll_30m_std,42,67
all_daylight,aws_ws_avg,39,59
all_daylight,aws_wd_deg,38,52
all_daylight,vpd_proxy,38,41
all_daylight,ghi_lag_60m,37,32
all_daylight,aws_ws_max,36,34
all_daylight,synop_wind_speed,36,30
all_daylight,ghi_roll_30m_mean,35,51
all_daylight,ghi_ramp_ratio_60m,34,140
all_daylight,aws_rain_mm,33,25
all_daylight,asrs_n_obs_1min,33,21
all_daylight,ghi_delta_10m,31,64
all_daylight,aws_rh_pct,28,42
all_daylight,aws_sr_avg_w_m2,27,75
all_daylight,clp_moderate_cloud_flag,21,43
all_daylight,ghi_lag_30m,21,28
all_daylight,hour_cos,20,25
all_daylight,aws_temp_max_c,15,23
all_daylight,ghi_lag_10m,14,37
all_daylight,clp_thick_cloud_flag,14,13
all_daylight,clp_thin_cloud_flag,12,11
all_daylight,diffuse_to_global_ratio,7,12
all_daylight,asrs_ok_obs,7,5
all_daylight,aws_temp_range,6,15
all_daylight,synop_rainfall_24h_mm,3,3
all_daylight,synop_solar_rad_24h,0,1
all_daylight,daylight_flag,0,0
all_daylight,sun_above_5deg_flag,0,0
all_daylight,clp_cloud_present,0,0
all_daylight,clp_clear_flag,0,0
all_daylight,cloud_opacity_proxy,0,0
clp_required,clp_cot,708,911
clp_required,solar_elev_deg,616,425
clp_required,hour_sin,339,299
clp_required,month_cos,249,238
clp_required,clp_cot_delta_180m,243,344
clp_required,clp_cer,229,275
clp_required,dni_now,213,523
clp_required,aws_pressure_lag_60m,202,209
clp_required,clp_cot_delta_60m,201,246
clp_required,dni_fraction,201,187
clp_required,month_sin,197,243
clp_required,nett_rad_now,180,179
clp_required,cloud_height_temp_interaction,178,220
clp_required,aws_ws_roll_180m_mean,176,192
clp_required,aws_pressure_hpa,174,185
clp_required,ghi_roll_180m_max,166,223
clp_required,ghi_now,161,175
clp_required,clp_cot_roll_180m_mean,156,202
clp_required,synop_dewpoint_c,153,192
clp_required,ghi_roll_180m_std,153,169
clp_required,temp_rh_interaction,140,157
clp_required,clp_ctt_k,139,155
clp_required,ghi_clear_proxy,135,934
clp_required,clp_cth_roll_180m_mean,134,204
clp_required,aws_temp_roll_180m_mean,126,121
clp_required,dni_roll_180m_mean,125,171
clp_required,synop_wind_dir_deg,121,173
clp_required,ghi_roll_60m_max,117,169
clp_required,ghi_lag_180m,115,148
clp_required,ghi_roll_180m_range,115,129
clp_required,clp_cth_m,113,167
clp_required,synop_temp_c,113,151
clp_required,dhi_roll_180m_mean,106,185
clp_required,aws_rh_roll_180m_mean,104,138
clp_required,clp_cth_delta_180m,102,131
clp_required,clp_cth_delta_60m,100,150
clp_required,ghi_to_aws_sr_ratio,95,46
clp_required,ghi_roll_180m_min,89,141
clp_required,solar_elev_sin,87,92
clp_required,aws_rain_sum_180m,86,91
clp_required,ghi_roll_60m_range,85,131
clp_required,dni_lag_60m,84,122
clp_required,ghi_roll_180m_mean,81,79
clp_required,dhi_lag_60m,80,109
clp_required,clp_cot_lag_60m,79,123
clp_required,ghi_roll_30m_max,78,131
clp_required,wind_v,78,81
clp_required,dhi_fraction,76,144
clp_required,clp_cth_lag_60m,76,97
clp_required,aws_rh_lag_60m,76,88
clp_required,wind_u,75,121
clp_required,ghi_roll_30m_min,74,73
clp_required,dhi_now,72,97
clp_required,ghi_roll_60m_std,72,84
clp_required,synop_rh_pct,71,133
clp_required,synop_visibility,69,89
clp_required,ghi_roll_60m_mean,69,49
clp_required,aws_rh_delta_60m,66,83
clp_required,ghi_lag_120m,66,79
clp_required,ghi_roll_60m_min,61,90
clp_required,aws_ws_avg,61,82
clp_required,aws_ws_max,58,78
clp_required,aws_wd_deg,58,77
clp_required,aws_temp_lag_60m,58,73
clp_required,ghi_delta_60m,55,112
clp_required,aws_temp_min_c,55,77
clp_required,ghi_roll_30m_mean,50,48
clp_required,ghi_roll_30m_std,49,81
