model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,experiment,split,n_train,n_valid,n_test
all_daylight_train_persistence,66247,164.71950768147175,213.51127925336246,0.5530429582310319,2.3148164300972485,0.0,all_daylight,train,66247,25976,25336
all_daylight_train_lgbm_direct,66247,74.98257420628711,110.40009626675067,0.88050133793276,0.03684394578864788,0.4829308472469749,all_daylight,train,66247,25976,25336
all_daylight_train_lgbm_residual,66247,75.28755663914512,111.3069722638691,0.8785300430905126,0.5520687643150443,0.4786834088901363,all_daylight,train,66247,25976,25336
all_daylight_train_blend_30persistence_70residual,66247,90.60796169930995,127.57050232418118,0.840439764028177,1.0808930640496819,0.4025116482356885,all_daylight,train,66247,25976,25336
all_daylight_train_blend_50persistence_50residual,66247,108.1096961656134,147.50178871626832,0.7866863177982824,1.433442597206146,0.3091616085479222,all_daylight,train,66247,25976,25336
all_daylight_train_blend_70persistence_30residual,66247,129.21879669230225,171.9109152462023,0.7102449300843847,1.785992130362564,0.1948391867288436,all_daylight,train,66247,25976,25336
all_daylight_valid_persistence,25976,167.1933507352941,220.25950307501043,0.5280736943079425,4.8372075415768405,0.0,all_daylight,valid,66247,25976,25336
all_daylight_valid_lgbm_direct,25976,84.22341119863839,128.48901012262553,0.839403216584373,0.5969981700554818,0.4166471442602502,all_daylight,valid,66247,25976,25336
all_daylight_valid_lgbm_residual,25976,84.14150207439296,128.45761893903102,0.8394816778828856,2.422940535454862,0.41678966334867207,all_daylight,valid,66247,25976,25336
all_daylight_valid_blend_30persistence_70residual,25976,97.81370370749521,140.93230849629649,0.8067915984498599,3.147220637291431,0.36015333491285817,all_daylight,valid,66247,25976,25336
all_daylight_valid_blend_50persistence_50residual,25976,113.79135919048028,158.3517958898773,0.7560780618566727,3.6300740385158514,0.2810671336348659,all_daylight,valid,66247,25976,25336
all_daylight_valid_blend_70persistence_30residual,25976,133.37925332916174,180.74034168010573,0.6822284050198828,4.112927439740223,0.17942091416344597,all_daylight,valid,66247,25976,25336
all_daylight_test_persistence,25336,167.50815615875538,220.18781700495907,0.5212516539209822,2.3526225205669453,0.0,all_daylight,test,66247,25976,25336
all_daylight_test_lgbm_direct,25336,95.56136672948506,136.89871925447807,0.8149370480433789,2.4315836002052453,0.3782638789166304,all_daylight,test,66247,25976,25336
all_daylight_test_lgbm_residual,25336,96.0259675429583,135.45553831820925,0.8188183342355728,-1.139942857803657,0.3848181967526454,all_daylight,test,66247,25976,25336
all_daylight_test_blend_30persistence_70residual,25336,102.14458679433292,142.89978507501107,0.7983566675042538,-0.09217324429250001,0.35100957437716607,all_daylight,test,66247,25976,25336
all_daylight_test_blend_50persistence_50residual,25336,114.81423031527048,158.49279968725722,0.7519496814152515,0.6063398313816445,0.28019269256987256,all_daylight,test,66247,25976,25336
all_daylight_test_blend_70persistence_30residual,25336,133.10910822553353,180.20581936501867,0.6793299953784178,1.3048529070557415,0.18158133444340352,all_daylight,test,66247,25976,25336
clp_required_train_persistence,52956,174.58184076102293,222.3789674715601,0.4856757162979579,10.380304653417191,0.0,clp_required,train,52956,22606,21996
clp_required_train_lgbm_direct,52956,78.28040819924806,111.97960815877741,0.8695850143246228,0.0361643337992549,0.4964469462558395,clp_required,train,52956,22606,21996
clp_required_train_lgbm_residual,52956,77.65977367655277,111.41784484821821,0.8708902267511001,0.34460399122049257,0.49897309932214085,clp_required,train,52956,22606,21996
clp_required_train_blend_30persistence_70residual,52956,94.62524819972211,129.39525120472356,0.8258649130226778,3.355314189879476,0.41813179242649445,clp_required,train,52956,22606,21996
clp_required_train_blend_50persistence_50residual,52956,113.7394129620922,151.19176381024926,0.7622580184382438,5.3624543223188414,0.3201166210577667,clp_required,train,52956,22606,21996
clp_required_train_blend_70persistence_30residual,52956,136.52632320065922,177.64717460058782,0.6717791088414211,7.369594454758157,0.20115118520231912,clp_required,train,52956,22606,21996
clp_required_valid_persistence,22606,178.0571179907989,230.56232968081744,0.4567069044894383,14.202760758205788,0.0,clp_required,valid,52956,22606,21996
clp_required_valid_lgbm_direct,22606,91.80464623123203,135.0855372975476,0.8135015651980515,-2.043965679327783,0.41410404082681085,clp_required,valid,52956,22606,21996
clp_required_valid_lgbm_residual,22606,91.09188278074787,134.73353580136484,0.8144722419713182,-1.075102118733871,0.41563074944686185,clp_required,valid,52956,22606,21996
clp_required_valid_blend_30persistence_70residual,22606,105.00566207874759,147.29171812892216,0.7782752680119834,3.5082567443479995,0.3611631252476164,clp_required,valid,52956,22606,21996
clp_required_valid_blend_50persistence_50residual,22606,121.70994977645852,165.43972282418707,0.7202712723794606,6.563829319735956,0.28245120070908314,clp_required,valid,52956,22606,21996
clp_required_valid_blend_70persistence_30residual,22606,142.29141883953466,188.93701360160526,0.6351691330192315,9.619401895123861,0.18053823509172917,clp_required,valid,52956,22606,21996
clp_required_test_persistence,21996,178.73611913703525,230.50231677553677,0.44520417763002984,10.672517479591022,0.0,clp_required,test,52956,22606,21996
clp_required_test_lgbm_direct,21996,101.95097668179375,141.31222048796212,0.7914827283158675,-0.050028797728358686,0.38693796025672056,clp_required,test,52956,22606,21996
clp_required_test_lgbm_residual,21996,101.74078623516273,141.13827481935857,0.791995753343055,-1.836937788468088,0.38769259765489006,clp_required,test,52956,22606,21996
clp_required_test_blend_30persistence_70residual,21996,109.13342460813688,148.9961166346459,0.7681898269816225,1.915898791949619,0.35360252027428274,clp_required,test,52956,22606,21996
clp_required_test_blend_50persistence_50residual,21996,122.92231650168387,165.46470420475396,0.7141137111442508,4.417789845561467,0.28215600381195505,clp_required,test,52956,22606,21996
clp_required_test_blend_70persistence_30residual,21996,142.32287365682365,188.37294110398932,0.6294731966964124,6.919680899173264,0.18277202702727302,clp_required,test,52956,22606,21996
high_sun_train_persistence,49913,184.2599167012827,232.50228051559645,0.32713807991343025,2.7586554293742003,0.0,high_sun,train,49913,19445,19245
high_sun_train_lgbm_direct,49913,92.35626733107065,126.8864426525977,0.799598042165228,0.0004498067244329218,0.45425721256920726,high_sun,train,49913,19445,19245
high_sun_train_lgbm_residual,49913,92.75994624698916,127.64770693280174,0.7971861769911148,0.03420245202579748,0.45098298971635664,high_sun,train,49913,19445,19245
high_sun_train_blend_30persistence_70residual,49913,107.07320428808217,143.66162516419024,0.743106529096281,0.8515383452302887,0.3821065976402185,high_sun,train,49913,19445,19245
high_sun_train_blend_50persistence_50residual,49913,124.81180554387232,163.89324855481382,0.6656559156290244,1.3964289406999988,0.29508971614659185,high_sun,train,49913,19445,19245
high_sun_train_blend_70persistence_30residual,49913,146.72634493707537,189.06086821105143,0.5550872902652072,1.941319536169649,0.18684295142486118,high_sun,train,49913,19445,19245
high_sun_valid_persistence,19445,188.49069268192338,240.43582328614605,0.27293367717712225,6.56567111339676,0.0,high_sun,valid,49913,19445,19245
high_sun_valid_lgbm_direct,19445,103.09693770503254,145.2637545413471,0.7346065448018795,0.3837234494682489,0.3958314840277911,high_sun,valid,49913,19445,19245
high_sun_valid_lgbm_residual,19445,102.34146569162164,145.20139699306117,0.7348343474383136,2.5975547658053513,0.396090836180202,high_sun,valid,49913,19445,19245
high_sun_valid_blend_30persistence_70residual,19445,115.40714232615466,157.57948796950248,0.6876977962969922,3.7879896700827427,0.3446089446414775,high_sun,valid,49913,19445,19245
high_sun_valid_blend_50persistence_50residual,19445,131.77190748030287,175.47573584197968,0.6127335955660942,4.581612939601055,0.2701764094731277,high_sun,valid,49913,19445,19245
high_sun_valid_blend_70persistence_30residual,19445,152.2920437952375,198.80058048444096,0.5029375281925157,5.375236209119307,0.1731657214497292,high_sun,valid,49913,19445,19245
high_sun_test_persistence,19245,187.80734593970672,240.00676665126048,0.2725075621583465,3.291040756171095,0.0,high_sun,test,49913,19445,19245
high_sun_test_lgbm_direct,19245,115.63832840524984,152.02836194051127,0.7081022528548417,2.110534745121233,0.3665663511836955,high_sun,test,49913,19445,19245
high_sun_test_lgbm_residual,19245,116.31180500142132,152.17576183270444,0.7075359564900646,-2.343862039643839,0.3659522022817716,high_sun,test,49913,19445,19245
high_sun_test_blend_30persistence_70residual,19245,120.2371423598406,158.59714422120203,0.6823329011885603,-0.6533912008993891,0.3391971966705002,high_sun,test,49913,19445,19245
high_sun_test_blend_50persistence_50residual,19245,132.34741985354023,174.51072563130393,0.6153854057504091,0.4735893582636276,0.2728924768822245,high_sun,test,49913,19445,19245
high_sun_test_blend_70persistence_30residual,19245,151.03196680104355,197.31033519492132,0.508321543455873,1.600569917426584,0.17789678204522785,high_sun,test,49913,19445,19245
