horizon_min,model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,n_train,n_valid,n_test,pso_score,pso_n_features
10,blend_50_persistence_50_kt,25674,53.851915141027796,85.77561545965283,0.9246676226833183,-1.9438338240081514,0.08845657524514094,66886,25829,25674,,0
10,lgbm_residual_ghi,25674,59.98487682985473,91.4379709457698,0.9143934199012134,-9.256619821313777,0.028282330101748188,66886,25829,25674,,0
10,lgbm_direct_ghi,25674,60.915081424086836,92.41293217556183,0.9125581197487473,-5.155269731354496,0.017921349377268636,66886,25829,25674,,0
10,blend_50_residual_50_kt,25674,61.47236927220224,92.55886173652071,0.9122817421930745,-6.536863866948922,0.01637054579449526,66886,25829,25674,,0
10,blend_50_direct_50_kt,25674,61.938717777065115,93.0762083660602,0.911298420460701,-4.4861888219692805,0.010872667219696375,66886,25829,25674,,0
30,lgbm_residual_ghi,24885,87.65949655817373,126.25703817456214,0.8329843352103957,-11.193763384205923,0.21238744842605284,64676,25081,24885,,0
30,blend_50_residual_50_kt,24885,88.6726737475649,127.20418325448655,0.8304691264134845,-3.2970531550976045,0.2064789987752811,64676,25081,24885,,0
30,lgbm_direct_ghi,24885,89.36058446648228,127.96873998195659,0.8284250820599764,-7.018406699195907,0.2017095658497824,64676,25081,24885,,0
30,blend_50_direct_50_kt,24885,89.51041509170605,128.25678190806488,0.8276518246240487,-1.2093748125925983,0.19991271206909444,64676,25081,24885,,0
30,blend_50_persistence_50_kt,24885,88.30875424843548,128.62057065968264,0.8266727380495259,2.1206772420990405,0.19764333690365277,64676,25081,24885,,0
60,lgbm_residual_ghi,23716,102.33896927854715,140.42544918295846,0.7877371668361675,-4.277463775385537,0.3863407972980061,61498,23969,23716,,0
60,lgbm_direct_ghi,23716,101.54733308769173,141.02016873491758,0.7859354396947277,-1.6687285613481535,0.38374187289925965,61498,23969,23716,,0
60,blend_50_residual_50_kt,23716,103.80471217106017,141.7925459196106,0.7835841254206799,-2.1912387981121904,0.38036658465840534,61498,23969,23716,,0
60,blend_50_direct_50_kt,23716,103.36762488005874,142.09743142161372,0.7826524403283904,-0.8868711910934988,0.3790342350368573,61498,23969,23716,,0
60,lgbm_clearsky_kt,23716,106.9644619867346,145.77909456603422,0.7712438334251457,-0.10501382083884409,0.3629453673638844,61498,23969,23716,,0
