feature,importance,horizon_min,pso_selected
kt_now,1544,10,False
ghi_delta_10m,746,10,False
dni_fraction,608,10,False
ghi_to_aws_sr_ratio,579,10,False
clp_cot,571,10,False
solar_elev_deg,520,10,False
dni_now,471,10,False
ghi_roll_30m_std,464,10,False
dhi_now,353,10,False
reflected_now,268,10,False
dhi_fraction,261,10,False
solar_elev_sin_clip,259,10,False
clp_cot_delta_60m,254,10,False
clp_cot_delta_180m,244,10,False
ghi_delta_60m,236,10,False
aws_sr_avg_w_m2,231,10,False
nett_rad_now,224,10,False
dni_roll_180m_mean,223,10,False
clp_cth_delta_180m,219,10,False
hour_sin,217,10,False
ghi_roll_30m_min,217,10,False
dni_lag_60m,207,10,False
dhi_lag_60m,204,10,False
aws_ws_avg,200,10,False
cloud_height_temp_interaction,195,10,False
dhi_roll_180m_mean,195,10,False
ghi_lag_30m,191,10,False
ghi_roll_30m_max,186,10,False
ghi_ramp_ratio_60m,184,10,False
clp_cot_roll_180m_mean,177,10,False
aws_temp_delta_60m,174,10,False
month_cos,172,10,False
ghi_roll_60m_std,171,10,False
aws_pressure_lag_60m,171,10,False
ghi_lag_10m,167,10,False
ghi_lag_120m,167,10,False
ghi_lag_180m,167,10,False
aws_rh_delta_60m,167,10,False
clp_cot_lag_60m,167,10,False
clp_ctt_k,167,10,False
ghi_now,166,10,False
clp_cth_delta_60m,166,10,False
ghi_roll_60m_range,163,10,False
aws_pressure_hpa,163,10,False
clp_cer,160,10,False
aws_ws_roll_180m_mean,158,10,False
aws_ws_max,154,10,False
clp_cth_roll_180m_mean,151,10,False
ghi_roll_60m_min,151,10,False
wind_v,149,10,False
clp_cth_m,149,10,False
ghi_roll_60m_max,147,10,False
temp_rh_interaction,146,10,False
clp_cth_lag_60m,145,10,False
wind_u,133,10,False
ghi_roll_180m_max,133,10,False
month_sin,129,10,False
synop_dewpoint_c,127,10,False
ghi_roll_180m_std,125,10,False
aws_wd_deg,115,10,False
ghi_roll_60m_mean,114,10,False
aws_temp_range,112,10,False
aws_temp_lag_60m,112,10,False
ghi_roll_180m_min,111,10,False
ghi_roll_30m_mean,110,10,False
ghi_roll_180m_range,108,10,False
aws_temp_roll_180m_mean,101,10,False
asrs_n_obs_1min,101,10,False
aws_rh_lag_60m,96,10,False
ghi_lag_60m,92,10,False
aws_temp_c,92,10,False
aws_temp_min_c,91,10,False
ghi_roll_180m_mean,85,10,False
solar_elev_sin,85,10,False
syn_weather_cloud_rain_proxy,79,10,False
aws_rh_pct,78,10,False
aws_rh_roll_180m_mean,75,10,False
aws_temp_max_c,67,10,False
vpd_proxy,64,10,False
synop_temp_c,63,10,False
syn_cloud_cover_oktas_m,62,10,False
synop_wind_dir_deg,62,10,False
syn_present_weather,60,10,False
diffuse_to_global_ratio,49,10,False
syn_cloud_low_cover_oktas,47,10,False
synop_rh_pct,45,10,False
syn_cloud_med_cover_oktas,39,10,False
hour_cos,36,10,False
synop_wind_speed,34,10,False
synop_visibility,30,10,False
clear_sky_ghi_now,27,10,False
asrs_ok_obs,25,10,False
aws_rain_sum_180m,25,10,False
syn_cloud_low_base_2,19,10,False
