horizon_min,model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,n_train,n_valid,n_test,pso_score,pso_n_features
10,persistence,25674,57.10561562534903,94.09931894656629,0.9093376550889043,-0.07055973543223801,0.0,66886,25829,25674,,0
10,lgbm_direct_ghi,25674,60.915081424086836,92.41293217556183,0.9125581197487473,-5.155269731354496,0.017921349377268636,66886,25829,25674,,0
10,lgbm_residual_ghi,25674,59.98487682985473,91.4379709457698,0.9143934199012134,-9.256619821313777,0.028282330101748188,66886,25829,25674,,0
10,lgbm_clearsky_kt,25674,63.73932557117907,94.81573638022144,0.907951899296416,-3.8171079125840657,-0.007613417840589998,66886,25829,25674,,0
10,lgbm_clearsky_kt_top45,25674,63.68588189825674,94.4937868766224,0.9085759418549756,-3.88635610614107,-0.004192038098385309,66886,25829,25674,,0
10,lgbm_clearsky_kt_pca95,25674,74.8438067637137,104.44711941161358,0.888301608028385,22.108877039755058,-0.10996679445600699,66886,25829,25674,,0
10,blend_50_residual_50_kt,25674,61.47236927220224,92.55886173652071,0.9122817421930745,-6.536863866948922,0.01637054579449526,66886,25829,25674,,0
10,blend_50_direct_50_kt,25674,61.938717777065115,93.0762083660602,0.911298420460701,-4.4861888219692805,0.010872667219696375,66886,25829,25674,,0
10,blend_50_persistence_50_kt,25674,53.851915141027796,85.77561545965283,0.9246676226833183,-1.9438338240081514,0.08845657524514094,66886,25829,25674,,0
30,persistence,24885,113.37889377173622,160.30348668549394,0.7307647316540666,-0.35830258981262947,0.0,64676,25081,24885,,0
30,lgbm_direct_ghi,24885,89.36058446648228,127.96873998195659,0.8284250820599764,-7.018406699195907,0.2017095658497824,64676,25081,24885,,0
30,lgbm_residual_ghi,24885,87.65949655817373,126.25703817456214,0.8329843352103957,-11.193763384205923,0.21238744842605284,64676,25081,24885,,0
30,lgbm_clearsky_kt,24885,91.47004119545394,130.74668185361287,0.820895142615102,4.599657074010709,0.18438029916261145,64676,25081,24885,,0
30,lgbm_clearsky_kt_top45,24885,92.35234500329915,131.29098067337677,0.8194008105291736,-0.31663430480894345,0.180984871957514,64676,25081,24885,,0
30,lgbm_clearsky_kt_pca95,24885,97.6520946797829,133.8521966073667,0.8122858472409007,20.047195909652014,0.16500757797004828,64676,25081,24885,,0
30,blend_50_residual_50_kt,24885,88.6726737475649,127.20418325448655,0.8304691264134845,-3.2970531550976045,0.2064789987752811,64676,25081,24885,,0
30,blend_50_direct_50_kt,24885,89.51041509170605,128.25678190806488,0.8276518246240487,-1.2093748125925983,0.19991271206909444,64676,25081,24885,,0
30,blend_50_persistence_50_kt,24885,88.30875424843548,128.62057065968264,0.8266727380495259,2.1206772420990405,0.19764333690365277,64676,25081,24885,,0
60,persistence,23716,178.35120652885084,228.83295575891833,0.43633709613299865,-0.9050083327254111,0.0,61498,23969,23716,,0
60,lgbm_direct_ghi,23716,101.54733308769173,141.02016873491758,0.7859354396947277,-1.6687285613481535,0.38374187289925965,61498,23969,23716,,0
60,lgbm_residual_ghi,23716,102.33896927854715,140.42544918295846,0.7877371668361675,-4.277463775385537,0.3863407972980061,61498,23969,23716,,0
60,lgbm_clearsky_kt,23716,106.9644619867346,145.77909456603422,0.7712438334251457,-0.10501382083884409,0.3629453673638844,61498,23969,23716,,0
60,lgbm_clearsky_kt_top45,23716,109.00635287380149,147.1235675102148,0.7670048892318454,3.4757503285144367,0.35707002069573657,61498,23969,23716,,0
60,lgbm_clearsky_kt_pca95,23716,115.8308369143998,155.74823059199448,0.7388869629721948,37.85860655930641,0.31938024365651496,61498,23969,23716,,0
60,blend_50_residual_50_kt,23716,103.80471217106017,141.7925459196106,0.7835841254206799,-2.1912387981121904,0.38036658465840534,61498,23969,23716,,0
60,blend_50_direct_50_kt,23716,103.36762488005874,142.09743142161372,0.7826524403283904,-0.8868711910934988,0.3790342350368573,61498,23969,23716,,0
60,blend_50_persistence_50_kt,23716,121.48948807131248,163.34040679290197,0.7128098246095858,-0.505011076782128,0.28620243421150626,61498,23969,23716,,0
