,count,mean,min,25%,50%,75%,max,std
ts_wib,117559,2023-09-09 08:10:57.826283,2021-01-03 06:10:00,2022-07-23 10:35:00,2023-09-20 06:40:00,2024-11-03 17:05:00,2025-12-31 18:10:00,
target_ts_wib,117559,2023-09-09 09:10:57.826283,2021-01-03 07:10:00,2022-07-23 11:35:00,2023-09-20 07:40:00,2024-11-03 18:05:00,2025-12-31 19:10:00,
target_ghi_1h_ahead,117559.0,419.84600947859275,0.0,123.9,383.96999999999997,695.75,1357.7,319.40887602645415
target_delta_ghi_1h,117559.0,-2.880315342302475,-1124.04,-130.75499999999994,-7.1569,143.79,1003.67,216.44864678321818
target_kt_1h,117559.0,0.6670415095507567,0.0,0.22593868506106463,0.6210401243666993,0.9135997448714535,12.181818181818182,0.6951938253516577
hour_sin,117559.0,0.04772124490963287,-1.0,-0.7071067811865471,1.2246467991473532e-16,0.7071067811865476,1.0,0.707422848994198
hour_cos,117559.0,-0.6303388759121294,-1.0,-0.8660254037844388,-0.7071067811865475,-0.25881904510252063,0.25881904510252074,0.31615439938055323
month_sin,117559.0,-0.04377778800743302,-1.0,-0.8660254037844384,-2.4492935982947064e-16,0.49999999999999994,1.0,0.6999849847392969
month_cos,117559.0,0.024434197066261817,-1.0,-0.5000000000000004,6.123233995736766e-17,0.8660254037844384,1.0,0.7124015591565326
daylight_flag,117559.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
sun_above_5deg_flag,117559.0,0.9424289080376662,0.0,1.0,1.0,1.0,1.0,0.2329315840833926
ghi_now,117559.0,422.72632482089523,0.0,126.57,383.09999999999997,693.9799999999999,1357.7,314.76899280405877
dhi_now,117559.0,208.66680549953145,0.0,3.71,121.35999999999999,364.07000000000005,988.9655,227.4326371884755
dni_now,117559.0,214.7550181701306,0.0,63.8195,165.10999999999999,316.635,1071.21,193.41211998622785
reflected_now,117559.0,85.98701887264284,0.0,24.944000000000003,79.46000000000001,141.52500000000003,466.2532348922328,64.05184344787428
nett_rad_now,115408.0,341.3338822915154,-1.4600000000000002,104.29,311.895,557.745,1089.7,251.97628903360172
solar_elev_deg,117559.0,41.164025913296065,0.005260415462585277,21.244644906272555,42.10735539524406,61.18030710675265,89.12356556487975,23.059073412191058
asrs_n_obs_1min,117559.0,9.823152629743364,1.0,10.0,10.0,10.0,30.0,1.3484045351530995
asrs_ok_obs,117559.0,9.804004797590997,1.0,10.0,10.0,10.0,30.0,1.3337322507837182
aws_temp_c,117559.0,28.916389066836203,20.1,27.5,29.37,30.53,38.95,2.3397998485023326
aws_temp_min_c,117559.0,27.263390034994615,20.1,25.2,26.9,29.4,35.3,2.433251167287316
aws_temp_max_c,117559.0,29.628501727690512,20.1,28.3,30.0,31.2,39.9,2.4495103123803346
aws_rh_pct,117559.0,77.40814857092448,29.799999999999997,70.3,76.22,83.6,100.0,10.633721892635489
aws_pressure_hpa,117559.0,1008.5265888824068,1001.359,1007.2090046066044,1008.542,1009.861,1015.128,1.8479827891874034
aws_ws_avg,117559.0,1.771667907815044,0.0,0.774,1.739,2.628,10.27,1.246218307973468
aws_ws_max,117559.0,3.8689873544034508,0.0,2.346016,3.8,5.130094,17.60505,2.0715125522998874
aws_wd_deg,117559.0,188.72026611172237,1.762154363103889,129.7,203.7,260.9,359.44882511136575,81.31805543331753
aws_rain_mm,117559.0,1.3729545701920718,0.0,0.0,0.0,0.0,177.8,7.266919006768071
aws_sr_avg_w_m2,114644.0,395.834859713548,0.0,125.6,353.6,632.4,1323.0,296.25809670472796
clp_cot,97558.0,9.862980705956685,0.0099999997764825,2.1842856407165527,4.314852237701416,9.770794153213501,150.0,15.172773259493985
clp_cth_m,97558.0,8.258734468778266,0.1260000020265579,5.698057651519775,8.557084560394287,10.861258268356323,16.621000289916992,3.259545825634646
clp_ctt_k,97558.0,250.68312984139584,191.25,233.55613327026367,250.1587371826172,268.2098693847656,296.8699951171875,21.5753491054989
clp_cer,88391.0,27.923011338340615,0.0099999997764825,17.801894187927246,26.321697235107425,36.32749557495117,100.0,12.746648416701946
clp_cloud_present,109992.0,0.12714561058986107,0.0,0.0,0.0,0.0,1.0,0.3331375290861725
clp_clear_flag,117559.0,0.11817895694927653,0.0,0.0,0.0,0.0,1.0,0.3228212780511786
clp_thin_cloud_flag,117559.0,0.18384811031056747,0.0,0.0,0.0,0.0,1.0,0.38736192252190776
clp_moderate_cloud_flag,117559.0,0.4427053649656768,0.0,0.0,0.0,1.0,1.0,0.4967085901031406
clp_thick_cloud_flag,117559.0,0.2026301686812579,0.0,0.0,0.0,0.0,1.0,0.4019608909047488
synop_temp_c,107107.0,29.13108573669322,22.0,27.8,29.6,30.7,36.3,2.2317166829119923
synop_dewpoint_c,107101.0,24.565539070596916,19.2,23.7,24.6,25.4,29.2,1.2247446106682662
synop_rh_pct,107101.0,77.01857125517036,48.0,71.0,76.0,82.0,100.0,8.860838242417907
synop_wind_speed,107107.0,5.2457355728383765,0.0,3.0,5.0,7.0,21.0,2.4239063543902546
synop_wind_dir_deg,107107.0,202.29088668341004,0.0,150.0,230.0,280.0,360.0,84.86414669872727
synop_visibility,107107.0,5.784761033359165,0.5,5.0,6.0,7.0,10.0,1.3104012687181925
synop_rainfall_24h_mm,6917.0,9.672950701171029,0.0,0.0,0.7,9.2,187.6,20.199484576011397
synop_solar_rad_24h,7537.0,1444.1077882446598,11.0,1240.0,1509.0,1691.0,2142.0,347.50791257331906
ghi_lag_10m,117558.0,422.5034898159484,0.0,126.33,383.05000000000007,693.8500000000001,1357.7,314.9569319581161
ghi_lag_30m,117558.0,421.46219295627714,0.0,125.35,382.775,693.5975,1357.7,316.0048098751007
ghi_lag_60m,117559.0,418.20415783935823,0.0,119.365,382.23999999999995,693.645,1357.7,319.7429825858631
ghi_lag_120m,117559.0,402.97938653867715,0.0,58.627500000000005,375.69999999999993,695.0899999999999,1357.7,333.54484621642956
ghi_lag_180m,117559.0,374.0026515684974,0.0,0.0,312.95000000000005,695.5449999999998,1357.7,348.4521573485456
dhi_lag_60m,117559.0,206.3723753455997,0.0,1.0694499999999998,118.72,363.655,988.9655,228.6109131071509
dni_lag_60m,117559.0,211.61771421382142,0.0,56.230999999999995,164.3,316.4,1071.21,196.07473810152618
aws_temp_lag_60m,117358.0,28.61450945512598,20.1,26.5,29.26,30.52,38.95,2.5965502553268607
aws_rh_lag_60m,117358.0,78.52598020159819,29.799999999999997,70.38,76.7,87.2,100.0,11.54311164148857
aws_pressure_lag_60m,117358.0,1008.613666464234,1001.359,1007.327,1008.6789196056186,1009.91,1015.128,1.8192619583522844
