feature,importance_direct,importance_residual
clp_cot,726,641
hour_sin,583,340
solar_elev_deg,471,268
solar_elev_sin_clip,401,235
month_cos,353,229
dni_now,318,667
clp_cot_delta_10m,294,219
nett_rad_now,282,158
dni_fraction,275,134
month_sin,272,211
clp_cot_delta_180m,259,241
clp_cer,257,226
aws_pressure_lag_60m,244,160
ghi_now,236,236
ghi_roll_180m_max,227,135
aws_ws_roll_180m_mean,225,126
aws_pressure_hpa,225,132
synop_dewpoint_c,219,174
dhi_roll_180m_mean,215,162
clp_cot_delta_30m,209,152
ghi_lag_180m,207,138
clp_cot_roll_180m_mean,200,155
temp_rh_interaction,194,131
cloud_height_temp_interaction,190,162
synop_temp_c,189,156
dni_roll_180m_mean,187,142
clp_cot_lag_10m,185,166
clp_cth_roll_180m_mean,183,159
clp_ctt_k,178,141
clp_cth_m,173,130
clp_cth_delta_180m,168,132
aws_temp_roll_180m_mean,158,95
aws_rh_roll_180m_mean,156,100
synop_wind_dir_deg,156,128
ghi_roll_180m_min,148,178
ghi_roll_180m_range,147,82
clp_cot_delta_60m,145,139
ghi_roll_180m_std,138,100
solar_elev_sin,134,62
syn_weather_cloud_rain_proxy,134,100
kt_now,128,976
wind_u,124,104
ghi_roll_180m_mean,124,79
syn_cloud_cover_oktas_m,121,106
syn_cloud_low_cover_oktas,118,72
ghi_delta_60m,117,160
clear_sky_ghi_now,115,55
dhi_now,115,67
ghi_roll_60m_max,113,72
ghi_roll_30m_max,109,111
clp_cth_delta_60m,108,106
dhi_fraction,107,118
ghi_roll_60m_range,102,97
kt_wavelet_detail1_energy,96,97
dhi_lag_60m,96,69
aws_rain_sum_180m,95,82
synop_rh_pct,94,74
ghi_roll_60m_min,93,66
clp_cot_lag_20m,93,95
clp_cth_lag_30m,88,50
clp_cot_lag_30m,88,77
dni_lag_60m,87,84
ghi_to_aws_sr_ratio,87,26
ghi_lag_120m,86,52
wind_v,85,52
kt_roll60m_mean,85,73
aws_rh_lag_60m,84,58
syn_cloud_med_cover_oktas,81,61
aws_wd_deg,78,62
aws_rh_delta_60m,75,45
clp_cot_lag_60m,74,68
aws_temp_lag_60m,72,48
ghi_roll_30m_min,70,49
aws_ws_max,67,53
kt_roll30m_mean,67,89
aws_ws_avg,65,67
ghi_roll_60m_std,63,91
aws_temp_min_c,63,67
ghi_roll_60m_mean,62,24
aws_sr_avg_w_m2,61,65
clp_cth_lag_60m,61,58
aws_temp_delta_60m,58,41
kt_wavelet_detail2_energy,58,56
vpd_proxy,57,39
ghi_roll_30m_mean,56,30
reflected_now,53,229
ghi_lag_60m,53,36
kt_wavelet_trend,52,48
aws_temp_c,49,24
synop_visibility,48,43
ghi_delta_10m,47,83
syn_present_weather,46,61
aws_rh_pct,46,41
syn_cloud_low_base_1,46,22
ghi_roll_30m_std,45,45
kt_lag_60m,43,40
ghi_ramp_ratio_60m,43,154
asrs_n_obs_1min,41,13
aws_rain_mm,40,23
synop_wind_speed,39,22
kt_roll30m_std,38,41
kt_lag_10m,37,40
aws_temp_max_c,37,20
ghi_lag_50m,35,35
syn_cloud_low_base_2,33,20
syn_total_cloud_oktas,29,27
ghi_lag_20m,26,19
ghi_lag_10m,23,29
kt_lag_20m,23,20
clp_moderate_cloud_flag,21,37
kt_lag_30m,20,19
hour_cos,17,17
syn_past_weather_1,16,10
ghi_lag_30m,15,22
aws_temp_range,14,8
syn_past_weather_2,13,11
syn_cloud_med_base_1,13,17
syn_cloud_base_min,9,7
clp_thin_cloud_flag,9,6
clp_thick_cloud_flag,8,6
asrs_ok_obs,5,9
synop_rainfall_24h_mm,2,4
synop_solar_rad_24h,1,1
syn_cloud_layer_1_height_m,0,0
syn_cloud_layer_1_amt_oktas,0,0
clp_cloud_present,0,0
clp_clear_flag,0,0
syn_cloud_layer_2_height_m,0,0
syn_cloud_depth_proxy,0,0
syn_cloud_layer_3_height_m,0,0
syn_multi_layer_cloud_flag,0,0
syn_low_cloud_present,0,0
syn_cloud_layer_4_height_m,0,0
cloud_opacity_proxy,0,0
syn_cloud_low_base_3,0,2
syn_cloud_layer_2_amt_oktas,0,0
syn_cloud_layer_3_amt_oktas,0,0
syn_cloud_layer_4_amt_oktas,0,0
daylight_flag,0,0
syn_cloud_high_base_1,0,0
syn_cloud_med_base_2,0,0
sun_above_5deg_flag,0,0
syn_cloud_high_base_2,0,0
