feature,importance_direct,importance_residual
clp_cot,528,411
hour_sin,449,273
dni_now,379,673
clp_cot_delta_10m,372,340
solar_elev_deg,332,309
solar_elev_sin_clip,290,164
ghi_delta_10m,278,329
nett_rad_now,265,193
solar_elev_sin,259,200
clp_cot_delta_180m,256,237
ghi_to_aws_sr_ratio,250,192
clp_cer,236,196
dni_fraction,232,166
ghi_now,228,148
clp_cot_lag_10m,227,177
month_cos,213,108
clp_cot_delta_30m,213,154
aws_pressure_hpa,203,169
clp_cot_delta_60m,203,176
aws_temp_delta_60m,200,139
ghi_delta_60m,191,270
clp_cth_delta_60m,178,155
kt_wavelet_detail1_energy,177,181
aws_pressure_lag_60m,176,157
dni_lag_60m,176,174
dhi_now,174,96
aws_rh_delta_60m,170,134
wind_v,169,129
ghi_roll_60m_range,167,157
ghi_roll_30m_std,166,247
ghi_lag_180m,155,146
kt_wavelet_detail2_energy,154,156
kt_roll30m_std,153,157
ghi_roll_180m_std,151,137
clp_ctt_k,150,104
ghi_roll_60m_std,150,176
aws_ws_roll_180m_mean,149,129
month_sin,149,143
ghi_lag_10m,148,132
clp_cot_lag_30m,148,160
clp_cth_m,148,110
wind_u,148,126
dni_roll_180m_mean,142,142
clp_cth_delta_180m,141,167
clp_cth_lag_30m,140,150
ghi_roll_180m_range,139,78
dhi_fraction,136,161
kt_lag_10m,136,149
aws_ws_max,135,99
temp_rh_interaction,134,121
ghi_roll_180m_max,133,106
reflected_now,132,265
dhi_lag_60m,132,122
ghi_ramp_ratio_60m,132,160
kt_now,132,685
ghi_lag_120m,130,112
ghi_roll_60m_max,129,140
aws_wd_deg,129,110
clp_cth_roll_180m_mean,129,115
ghi_lag_50m,128,129
clp_cot_lag_20m,127,89
ghi_roll_30m_max,126,120
kt_lag_20m,126,91
ghi_lag_20m,125,72
syn_cloud_cover_oktas_m,122,99
ghi_roll_30m_mean,121,111
clp_cot_roll_180m_mean,120,122
kt_lag_60m,119,94
aws_sr_avg_w_m2,118,155
clp_cot_lag_60m,117,93
dhi_roll_180m_mean,114,106
ghi_roll_60m_mean,111,64
aws_rh_roll_180m_mean,109,117
kt_lag_30m,108,86
ghi_lag_30m,106,153
syn_weather_cloud_rain_proxy,105,92
aws_ws_avg,104,111
aws_temp_range,103,57
ghi_roll_180m_mean,102,75
cloud_height_temp_interaction,102,106
synop_dewpoint_c,102,99
ghi_roll_60m_min,101,106
ghi_lag_60m,101,107
aws_temp_roll_180m_mean,96,88
kt_roll60m_mean,95,78
kt_wavelet_trend,95,91
synop_temp_c,90,86
ghi_roll_180m_min,90,158
synop_wind_dir_deg,85,84
aws_temp_lag_60m,82,50
aws_rh_lag_60m,81,73
aws_temp_c,80,63
clp_cth_lag_60m,79,89
kt_roll30m_mean,77,119
syn_cloud_low_cover_oktas,72,57
ghi_roll_30m_min,69,73
vpd_proxy,66,63
syn_cloud_med_cover_oktas,62,52
aws_temp_min_c,61,71
aws_rh_pct,60,64
syn_present_weather,59,48
synop_rh_pct,51,27
aws_temp_max_c,49,60
aws_rain_sum_180m,40,41
syn_cloud_low_base_2,39,31
synop_visibility,38,45
syn_cloud_low_base_1,35,19
synop_wind_speed,34,32
syn_total_cloud_oktas,30,28
clp_moderate_cloud_flag,27,19
clear_sky_ghi_now,24,17
hour_cos,19,39
clp_thick_cloud_flag,10,8
syn_past_weather_2,8,7
asrs_n_obs_1min,7,2
clp_thin_cloud_flag,5,11
aws_rain_mm,5,10
asrs_ok_obs,2,0
syn_past_weather_1,2,2
syn_cloud_med_base_1,1,0
syn_cloud_base_min,1,5
synop_solar_rad_24h,0,0
syn_cloud_med_base_2,0,0
syn_cloud_high_base_1,0,0
syn_cloud_depth_proxy,0,0
syn_multi_layer_cloud_flag,0,0
syn_low_cloud_present,0,0
syn_cloud_high_base_2,0,0
synop_rainfall_24h_mm,0,0
cloud_opacity_proxy,0,0
syn_cloud_layer_4_amt_oktas,0,0
syn_cloud_layer_1_height_m,0,0
daylight_flag,0,0
syn_cloud_layer_3_amt_oktas,0,0
sun_above_5deg_flag,0,0
syn_cloud_layer_2_height_m,0,0
clp_cloud_present,0,0
syn_cloud_layer_3_height_m,0,0
syn_cloud_layer_4_height_m,0,0
syn_cloud_layer_1_amt_oktas,0,0
syn_cloud_low_base_3,0,0
syn_cloud_layer_2_amt_oktas,0,0
clp_clear_flag,0,0
