feature,importance_direct,importance_residual
clp_cot,923,837
solar_elev_deg,770,441
solar_elev_sin_clip,672,387
ghi_roll_180m_max,610,388
hour_sin,587,381
dni_now,541,895
dni_fraction,527,304
dhi_roll_180m_mean,492,394
month_cos,472,323
synop_temp_c,469,318
clp_cer,428,353
clp_cot_roll_180m_mean,411,378
dni_roll_180m_mean,410,348
clp_cth_roll_180m_mean,405,305
aws_rh_roll_180m_mean,405,286
aws_ws_roll_180m_mean,403,302
synop_dewpoint_c,401,345
nett_rad_now,382,266
ghi_roll_180m_std,380,321
month_sin,369,280
aws_pressure_lag_60m,368,290
clp_cot_lag_10m,368,370
kt_now,361,1195
clp_cot_delta_10m,359,265
temp_rh_interaction,358,281
clp_cot_delta_180m,355,320
synop_wind_dir_deg,340,309
ghi_lag_180m,335,203
aws_pressure_hpa,332,238
aws_temp_roll_180m_mean,331,266
cloud_height_temp_interaction,318,302
ghi_now,309,372
clp_cth_delta_180m,288,255
ghi_roll_180m_min,276,320
ghi_delta_60m,274,348
clp_ctt_k,255,200
clp_cot_delta_30m,238,208
clp_cot_delta_60m,222,200
clp_cth_m,203,188
reflected_now,145,344
