feature,importance_lgbm,importance_catboost,importance_xgboost
hour_sin,398,22.164366474300316,0.10269645
smart_persist_60m,284,17.846513343132607,0.533259
solar_elev_deg,482,6.62191821059521,0.0073869703
clp_cot,857,6.163238802501665,0.013960429
solar_elev_sin_clip,369,5.337679267168912,0.013239234
dni_fraction,329,3.0597461302239166,0.004422087
clp_cot_lag_10m,389,2.755795945572252,0.004917698
dni_now,917,2.5439338207371387,0.0041163894
ghi_now,338,2.074137176089187,0.051413886
reflected_now,305,1.859020422490845,0.0038094323
month_cos,343,1.7842460162451328,0.0037847264
clp_ctt_k,226,1.7268616047751717,0.0037298878
month_sin,312,1.6734567235809548,0.0034089452
kt_now,1167,1.5185588847765201,0.003322539
clp_cot_delta_180m,350,1.4706912133178287,0.0055489647
clp_cot_delta_10m,275,1.428784553514284,0.0033605804
ghi_roll_180m_max,438,1.3828938270535087,0.008746459
nett_rad_now,257,1.36723571553799,0.14367977
dhi_roll_180m_mean,469,1.2194324347595706,0.0036757877
clp_cer,371,1.219139487789823,0.0039016467
ghi_roll_180m_std,319,0.9816827051041195,0.0032854546
synop_wind_dir_deg,315,0.949393040281093,0.0024556417
clp_cth_m,177,0.9355111924853938,0.00397854
dni_roll_180m_mean,366,0.9295892889921932,0.002424198
clp_cot_roll_180m_mean,409,0.8795970885966289,0.0026069682
synop_temp_c,347,0.8177073117554908,0.0026933672
aws_pressure_lag_60m,333,0.725019934887094,0.0020663333
clp_cot_delta_30m,215,0.7073909681782145,0.003376922
cloud_height_temp_interaction,301,0.6908969782455663,0.0028968786
synop_dewpoint_c,395,0.6644303292692616,0.002506846
aws_pressure_hpa,259,0.652512219267783,0.0028458796
aws_temp_roll_180m_mean,293,0.6498011091134227,0.0023875346
aws_ws_roll_180m_mean,329,0.6387487169541163,0.00208156
clp_cot_delta_60m,222,0.6314898200379008,0.0034494328
aws_rh_roll_180m_mean,296,0.6153738938851008,0.002414818
ghi_roll_180m_min,336,0.5821738104181864,0.0031789858
clp_cth_roll_180m_mean,325,0.5717817382755642,0.0022911082
ghi_delta_60m,363,0.488860995459305,0.007242325
ghi_lag_180m,207,0.47032536479304965,0.01469922
temp_rh_interaction,334,0.42520751541846724,0.0022485212
clp_cth_delta_180m,267,0.41311932530766676,0.0025061034
accel_clp_cot_20m,46,0.16758220756418493,0.0014179961
accel_kt_20m,50,0.11935216553281512,0.0012704966
accel_ghi_20m,86,0.0748022260145626,0.001294087
