model,h1_rmse,h1_mae,h1_mbe,h1_r2,h1_mape,h1_nrmse,h2_rmse,h2_mae,h2_mbe,h2_r2,h2_mape,h2_nrmse,h3_rmse,h3_mae,h3_mbe,h3_r2,h3_mape,h3_nrmse,h4_rmse,h4_mae,h4_mbe,h4_r2,h4_mape,h4_nrmse,h5_rmse,h5_mae,h5_mbe,h5_r2,h5_mape,h5_nrmse,h6_rmse,h6_mae,h6_mbe,h6_r2,h6_mape,h6_nrmse,avg_rmse,avg_mae,avg_mbe,avg_r2,avg_nrmse,avg_mape
Persistence_phase1,148.86000061035156,96.22000122070312,-1.43,0.6846,22.81,31.46,187.85000610351562,129.61000061035156,-2.13,0.5123,34.0,40.36,205.77000427246094,146.9600067138672,-2.71,0.4324,41.34,45.06,221.77999877929688,162.0,-3.01,0.3608,48.62,49.64,234.83999633789062,174.22000122070312,-3.37,0.3045,55.79,53.86,246.41000366210938,185.72000122070312,-3.72,0.2552,62.21,58.04,207.5800018310547,149.1199951171875,-2.73,0.425,46.4,44.13
Ridge_phase1,133.9499969482422,93.81999969482422,1.23,0.7446,24.37,28.3,158.1699981689453,116.62000274658203,1.99,0.6542,33.17,33.98,166.8699951171875,124.58000183105469,2.59,0.6267,37.15,36.54,172.49000549316406,129.50999450683594,3.63,0.6134,40.13,38.6,175.67999267578125,131.8300018310547,4.52,0.6108,42.43,40.29,177.67999267578125,133.1699981689453,5.33,0.6128,44.28,41.85,164.13999938964844,121.58999633789062,3.22,0.6437,36.59,36.92
LGBM_phase1,129.29,89.9,1.99,0.7621,22.53,27.32,152.06,110.81,3.16,0.6804,30.59,32.67,161.91,120.62,3.76,0.6486,35.31,35.45,168.45,127.46,5.26,0.6313,39.37,37.7,172.47,130.21,6.04,0.6249,41.35,39.56,174.81,131.72,6.77,0.6252,42.85,41.18,159.83,118.45,4.5,0.6621,35.65,35.33
LSTM_phase1,135.74000549316406,96.6500015258789,4.7,0.7377,25.06,28.68,155.80999755859375,114.11000061035156,0.16,0.6644,31.59,33.48,164.6999969482422,122.05999755859375,-0.83,0.6364,35.64,36.06,169.72000122070312,126.83000183105469,-2.72,0.6257,38.44,37.98,172.63999938964844,128.60000610351562,-3.22,0.6241,40.36,39.6,175.02999877929688,131.27999877929688,0.4,0.6242,43.55,41.23,162.27000427246094,119.91999816894531,-0.25,0.6521,36.17,35.77
Transformer_phase1,130.7100067138672,91.80999755859375,-1.09,0.7568,23.12,27.62,153.02000427246094,111.98999786376953,-0.55,0.6764,30.71,32.88,162.0399932861328,119.95999908447266,-7.26,0.648,33.97,35.48,167.74000549316406,124.66000366210938,-6.55,0.6344,36.92,37.54,171.0800018310547,126.73999786376953,-5.04,0.6309,39.06,39.24,173.5500030517578,128.8699951171875,-3.65,0.6305,41.39,40.88,159.69000244140625,117.33999633789062,-4.02,0.6628,35.61,34.2
Persistence_phase2,148.86000061035156,96.22000122070312,-1.43,0.6846,22.81,31.46,187.85000610351562,129.61000061035156,-2.13,0.5123,34.0,40.36,205.77000427246094,146.9600067138672,-2.71,0.4324,41.34,45.06,221.77999877929688,162.0,-3.01,0.3608,48.62,49.64,234.83999633789062,174.22000122070312,-3.37,0.3045,55.79,53.86,246.41000366210938,185.72000122070312,-3.72,0.2552,62.21,58.04,207.5800018310547,149.1199951171875,-2.73,0.425,46.4,44.13
Ridge_phase2,132.25,92.69999694824219,-1.27,0.7511,23.89,27.95,155.35000610351562,114.58000183105469,-1.68,0.6664,32.19,33.38,164.32000732421875,122.66000366210938,-1.59,0.6381,36.05,35.98,170.5399932861328,127.94000244140625,-0.89,0.6221,39.13,38.17,174.27999877929688,130.8000030517578,-0.09,0.6169,41.57,39.97,176.6699981689453,132.5800018310547,0.67,0.6172,43.6,41.62,162.24000549316406,120.20999908447266,-0.81,0.652,36.18,36.07
LGBM_phase2,128.99,89.05,-0.26,0.7632,21.95,27.26,152.52,111.27,-1.49,0.6785,30.22,32.77,161.89,120.8,-0.8,0.6486,34.88,35.45,167.99,125.4,-2.81,0.6333,37.19,37.6,171.51,129.2,-0.29,0.629,40.01,39.34,173.8,130.49,0.93,0.6295,41.71,40.94,159.45,117.7,-0.79,0.6637,35.56,34.33
LSTM_phase2,133.6199951171875,95.26000213623047,-16.53,0.7459,23.7,28.24,154.80999755859375,113.38999938964844,-17.45,0.6688,30.23,33.26,162.72000122070312,120.26000213623047,-8.22,0.645,33.87,35.63,169.19000244140625,125.51000213623047,-16.64,0.628,36.46,37.87,173.44000244140625,128.44000244140625,-20.06,0.6206,38.21,39.78,174.86000061035156,129.4199981689453,-16.35,0.625,40.22,41.19,161.44000244140625,118.70999908447266,-15.88,0.6556,35.99,33.78
Transformer_phase2,132.4499969482422,90.97000122070312,8.01,0.7503,23.37,27.99,153.47000122070312,110.12000274658203,2.89,0.6744,30.27,32.97,162.22000122070312,118.4000015258789,0.15,0.6472,33.93,35.52,168.49000549316406,123.69999694824219,1.67,0.6311,36.97,37.71,171.89999389648438,126.97000122070312,2.25,0.6273,39.54,39.43,173.92999267578125,129.4600067138672,2.98,0.6289,41.92,40.97,160.41000366210938,116.5999984741211,2.99,0.6599,35.76,34.33
