horizon_min,fold,n_train_eff,n_test,best_iter,r2,mae,rmse,skill_vs_sp
10,1,23917,12187,145,0.827,72.8,116.5,0.1275
10,2,36245,12424,179,0.8296,70.1,112.7,0.1298
10,3,48518,9640,138,0.8156,76.5,121.5,0.117
10,4,58240,9431,176,0.8482,71.8,112.5,0.1571
10,5,68432,22241,261,0.848,66.2,107.1,0.136
20,1,23854,12109,170,0.7625,91.3,136.2,0.1737
20,2,36120,12411,156,0.7647,87.4,132.3,0.1818
20,3,48364,9616,147,0.7335,97.6,145.9,0.1743
20,4,58065,9420,347,0.7965,87.8,130.2,0.2162
20,5,68243,22184,317,0.7884,84.1,126.3,0.1862
30,1,23678,11958,240,0.7322,99.8,144.0,0.1917
30,2,35845,12346,145,0.7339,95.9,140.4,0.1921
30,3,47964,9523,156,0.6955,107.6,155.5,0.1962
30,4,57611,9384,261,0.7782,93.7,135.7,0.244
30,5,67714,22014,417,0.7594,92.0,134.3,0.2135
40,1,23421,11778,176,0.7095,106.2,149.2,0.2059
40,2,35462,12239,191,0.71,101.9,146.2,0.2002
40,3,47406,9381,144,0.6659,115.5,162.2,0.2114
40,4,56979,9316,245,0.7649,98.4,139.3,0.2556
40,5,66936,21766,302,0.7356,98.5,140.4,0.2398
50,1,23127,11599,240,0.6883,111.3,153.8,0.2146
50,2,34986,12068,181,0.6904,106.9,150.5,0.2115
50,3,46750,9239,136,0.6397,121.7,167.9,0.224
50,4,56191,9211,387,0.7526,102.1,142.4,0.2673
50,5,66000,21454,303,0.716,103.5,144.9,0.2586
60,1,22808,11423,220,0.6691,115.9,157.8,0.2222
60,2,34486,11889,186,0.6677,112.0,155.4,0.2077
60,3,46076,9097,160,0.6216,126.5,171.6,0.2361
60,4,55374,9075,234,0.7368,106.8,146.1,0.2778
60,5,65036,21129,251,0.6947,108.6,149.7,0.2703
