,importance
ghi_cs_t60,11.278672537902944
elev_sin_t60,8.916078944612146
clp_cot,8.112071743881186
hour_sin,7.940829098707438
smart_persist,7.7140948306056965
clp_cot_lag_10m,4.136946756573469
doy_sin,2.957642793785359
hour_cos,2.7912482061327
clp_ctt_k,2.5754416163613527
clp_cot_delta_30m,2.5461261077809896
clp_cer,2.4029997452056246
doy_cos,2.222151437652031
clp_cot_delta_180m,2.1177882886909303
clp_cth_m,2.094723004598601
clp_cot_lag_20m,2.031058822280834
clp_cot_delta_10m,2.0049071317205778
ghi_roll_180m_mean,1.7157654436476777
clp_cot_delta_60m,1.6313455708214502
ghi_roll_180m_std,1.5301490720004007
clp_cot_lag_30m,1.4492978372635321
month_sin,1.4446704519279117
ghi_roll_60m_std,1.398443743152485
smart_persist_avg,1.3467656460660602
clp_cot_roll_180m_mean,1.2521629450631144
kt_roll60m_mean,1.1577859829764365
clp_cot_lag_60m,1.1465613867304516
ghi_now,1.1151099240082512
ghi_roll_60m_mean,1.0504814691098998
ghi_roll_30m_mean,0.809572624421657
ghi_lag_180m,0.7907711597188709
kt_roll30m_mean,0.7783118164719133
ghi_roll_30m_std,0.7478475309741754
ghi_lag_10m,0.7134043041110218
ghi_delta_10m,0.6963340898619378
kt_lag_30m,0.6837682197636102
ghi_lag_30m,0.6672495790641152
kt_roll30m_std,0.6051071519091058
ghi_lag_20m,0.5706764900377042
kt_lag_60m,0.5606476621884375
kt_lag_10m,0.5135831422245579
month_cos,0.5098846170092693
kt_now,0.48956945670927987
ghi_lag_60m,0.47493104338437225
ghi_lag_120m,0.4516905774966841
ghi_delta_60m,0.41981144534396075
kt_lag_20m,0.3950442004126805
accel_kt_20m,0.3794995629927706
accel_ghi_20m,0.3613344337367332
accel_clp_cot_20m,0.29137258013772255
clp_cloud_present,0.00826777276986512
