iteration,removed,importance,n_remaining_before,r2_current,r2_after_removal,delta_vs_baseline
1,clp_cloud_present,0.03171939159032041,50,0.6875820426391682,0.6887115742720571,-0.0011295316328888694
2,accel_clp_cot_20m,0.24784124316892805,49,0.6887115742720571,0.6872795125275142,0.0003025301116540424
3,kt_lag_20m,0.10017753948234637,48,0.6872795125275142,0.6877805242633757,-0.0001984816242074361
4,accel_ghi_20m,0.2701086477005336,47,0.6877805242633757,0.6869629228803544,0.0006191197588137909
5,ghi_lag_60m,0.16209237525448716,46,0.6869629228803544,0.6878015672609579,-0.00021952462178964627
6,kt_lag_30m,0.3934144139580762,45,0.6878015672609579,0.688462075848248,-0.0008800332090798113
7,kt_roll30m_mean,0.22520953417750683,44,0.688462075848248,0.6880791760425089,-0.0004971334033406771
8,ghi_delta_10m,0.33655281406200604,43,0.6880791760425089,0.6869939433513783,0.0005880992877899116
9,kt_lag_60m,0.3301141438438308,42,0.6869939433513783,0.6867440941514271,0.0008379484877411025
10,ghi_roll_30m_std,0.2976279518393617,41,0.6867440941514271,0.6877742202214183,-0.00019217758225009707
11,kt_lag_10m,0.2521492854540974,40,0.6877742202214183,0.6873905680231931,0.00019147461597512905
12,ghi_now,0.44449420649689747,39,0.6873905680231931,0.6865970712004481,0.000984971438720117
13,kt_roll30m_std,0.4885136151682479,38,0.6865970712004481,0.6874480662858934,0.00013397635327483393
14,ghi_lag_30m,0.4812642057894083,37,0.6874480662858934,0.6873173219929476,0.00026472064622062863
15,ghi_lag_180m,0.5407551220999575,36,0.6873173219929476,0.6878438890314269,-0.00026184639225868
16,ghi_lag_20m,0.4812395341168067,35,0.6878438890314269,0.6876691003002564,-8.705766108818569e-05
17,month_cos,0.5860512458899576,34,0.6876691003002564,0.6878513561019126,-0.0002693134627443916
18,accel_kt_20m,0.37030437699165947,33,0.6878513561019126,0.6878601897372998,-0.0002781470981315648
19,ghi_lag_10m,0.5239329623327655,32,0.6878601897372998,0.6883324306211752,-0.0007503879820069947
20,clp_cot_lag_30m,0.6361446860410769,31,0.6883324306211752,0.6879206874040344,-0.00033864476486622497
21,clp_cot_lag_60m,0.7536259535545555,30,0.6879206874040344,0.6880274390604343,-0.0004453964212660644
22,ghi_lag_120m,0.7699902927303724,29,0.6880274390604343,0.6886030054085979,-0.0010209627694296453
23,kt_roll60m_mean,1.1452894982415758,28,0.6886030054085979,0.6873747984782528,0.00020724416091544295
24,clp_cot_delta_60m,1.0131129253511528,27,0.6873747984782528,0.6883022511268515,-0.0007202084876832826
25,smart_persist_avg,1.2580670489852872,26,0.6883022511268515,0.6887270799555008,-0.0011450373163325311
26,ghi_delta_60m,1.3174547934963237,25,0.6887270799555008,0.688409517124225,-0.0008274744850568228
27,ghi_roll_60m_mean,1.0937552862828765,24,0.688409517124225,0.6884504085393743,-0.0008683659002061139
28,month_sin,1.3848521716359798,23,0.6884504085393743,0.6882430845749397,-0.0006610419357714337
29,clp_cot_lag_20m,1.501946573726239,22,0.6882430845749397,0.6879726727697097,-0.00039063013054152496
30,kt_now,1.7474345369440076,21,0.6879726727697097,0.688671120340958,-0.0010890777017897868
31,clp_cot_delta_10m,1.8576738055469029,20,0.688671120340958,0.6863372291381351,0.0012448135010331152
