feature,importance
kt_now,869
clp_cot,742
hour_sin,366
reflected_now,264
clp_cot_lag_10m,218
ghi_now,205
nett_rad_now,194
solar_elev_sin_clip,193
clp_cot_delta_10m,190
clp_cot_delta_30m,169
solar_elev_deg,168
ghi_delta_60m,155
cloud_height_temp_interaction,146
month_sin,135
clp_ctt_k,129
ghi_roll_180m_max,117
clp_cot_roll_180m_mean,110
clp_cth_roll_180m_mean,109
dni_fraction,107
synop_dewpoint_c,96
ghi_roll_180m_std,95
dhi_roll_180m_mean,95
clp_cot_delta_60m,92
clp_cth_delta_180m,89
clp_cot_delta_180m,89
clp_cth_m,84
dni_roll_180m_mean,76
dni_now,75
synop_wind_dir_deg,67
temp_rh_interaction,64
clp_cer,58
aws_temp_roll_180m_mean,55
ghi_roll_180m_min,51
synop_temp_c,48
aws_pressure_lag_60m,45
month_cos,39
ghi_lag_180m,36
aws_pressure_hpa,35
aws_rh_roll_180m_mean,27
accel_ghi_20m,23
aws_ws_roll_180m_mean,20
accel_kt_20m,19
accel_clp_cot_20m,2
