horizon_min,fold,n_train_eff,n_test,best_iter,r2,mae,rmse,skill_vs_sp
10,1,15048,10121,24,0.7901,82.2,148.0,0.2004
10,2,23525,11051,211,0.8485,73.1,120.5,0.2736
10,3,34105,10468,95,0.8324,79.0,129.6,0.25
10,4,44920,10196,148,0.8154,79.5,135.7,0.2436
10,5,55150,21345,972,0.8717,68.3,111.8,0.2895
20,1,15048,10121,35,0.7342,104.4,165.7,0.2132
20,2,23544,11095,339,0.7794,97.0,145.0,0.2631
20,3,34124,10468,124,0.7621,102.3,153.8,0.2626
20,4,44983,10238,448,0.7537,101.4,156.2,0.2671
20,5,55213,21386,691,0.8122,89.5,135.0,0.2865
30,1,15048,10121,33,0.6808,120.7,181.2,0.1968
30,2,23544,11095,299,0.7397,109.7,157.3,0.2618
30,3,34124,10468,99,0.7207,114.5,166.4,0.2658
30,4,44983,10238,448,0.721,112.5,165.9,0.278
30,5,55213,21386,745,0.7768,101.7,147.2,0.2931
40,1,15048,10121,38,0.6459,132.4,191.1,0.1998
40,2,23544,11095,447,0.6865,123.6,173.0,0.2389
40,3,34124,10468,129,0.7051,121.2,171.3,0.2777
40,4,44983,10238,619,0.7001,119.5,172.1,0.2853
40,5,55213,21386,959,0.7508,109.9,156.0,0.2986
50,1,15048,10121,45,0.6314,139.9,195.6,0.2057
50,2,23544,11095,376,0.667,129.6,179.2,0.247
50,3,34124,10468,92,0.6757,129.7,180.4,0.2645
50,4,44983,10238,531,0.6833,125.0,177.5,0.2904
50,5,55213,21386,610,0.7357,115.7,161.7,0.3049
60,1,14999,10053,49,0.6053,147.8,203.0,0.2049
60,2,23427,11095,334,0.6484,135.5,185.6,0.2452
60,3,34007,10401,118,0.6688,133.2,182.9,0.2771
60,4,44799,10238,526,0.6684,129.8,182.8,0.291
60,5,55029,21313,821,0.7222,120.5,166.9,0.3059
