feature,selected,category
ghi_now,False,GHI
ghi_lag_10m,True,GHI
ghi_lag_20m,True,GHI
ghi_lag_30m,False,GHI
ghi_lag_60m,False,GHI
ghi_lag_120m,True,GHI
ghi_lag_180m,True,GHI
ghi_roll_30m_mean,False,GHI
ghi_roll_30m_std,False,GHI
ghi_roll_60m_mean,True,GHI
ghi_roll_60m_std,True,GHI
ghi_roll_180m_mean,True,GHI
ghi_roll_180m_std,True,GHI
ghi_delta_10m,False,GHI
ghi_delta_60m,False,GHI
accel_ghi_20m,False,GHI
kt_now,True,KT
kt_lag_10m,False,KT
kt_lag_20m,False,KT
kt_lag_30m,False,KT
kt_lag_60m,False,KT
kt_roll30m_mean,False,KT
kt_roll30m_std,True,KT
kt_roll60m_mean,True,KT
accel_kt_20m,False,KT
clp_cot,True,CLP
clp_cot_lag_10m,True,CLP
clp_cot_lag_20m,True,CLP
clp_cot_lag_30m,True,CLP
clp_cot_lag_60m,False,CLP
clp_cot_delta_10m,True,CLP
clp_cot_delta_30m,True,CLP
clp_cot_delta_60m,True,CLP
clp_cot_delta_180m,False,CLP
clp_cot_roll_180m_mean,False,CLP
accel_clp_cot_20m,True,CLP
clp_cth_m,True,CLP
clp_ctt_k,True,CLP
clp_cer,True,CLP
clp_cloud_present,False,CLP
hour_sin,True,TIME
hour_cos,False,TIME
doy_sin,True,TIME
doy_cos,True,TIME
month_sin,True,TIME
month_cos,True,TIME
ghi_cs_t60,True,GHI
elev_sin_t60,True,FUTURE
smart_persist,True,FUTURE
smart_persist_avg,True,FUTURE
