feature,importance
kt_now,1202
nett_rad_now,687
solar_elev_deg,683
ghi_roll_180m_max,679
ghi_now,655
clp_cot,596
hour_sin,591
synop_wind_dir_deg,527
aws_ws_roll_180m_mean,522
dni_now,518
dhi_roll_180m_mean,502
ghi_delta_60m,489
dni_fraction,463
ghi_roll_180m_std,453
dni_roll_180m_mean,411
clp_cot_roll_180m_mean,406
clp_cth_roll_180m_mean,401
aws_pressure_hpa,398
aws_pressure_lag_60m,394
clp_cth_delta_180m,384
reflected_now,376
clp_cot_delta_30m,359
clp_ctt_k,354
clp_cer,350
month_cos,348
synop_dewpoint_c,347
clp_cot_delta_60m,340
ghi_roll_180m_min,331
clp_cot_delta_180m,329
clp_cot_delta_10m,322
month_sin,316
clp_cot_lag_10m,312
cloud_height_temp_interaction,301
temp_rh_interaction,287
synop_temp_c,265
ghi_lag_180m,234
aws_temp_roll_180m_mean,230
clp_cth_m,207
aws_rh_roll_180m_mean,182
accel_ghi_20m,155
solar_elev_sin_clip,149
accel_kt_20m,103
accel_clp_cot_20m,94
