location,fold,period,n_train_eff,n_test,best_iter,r2,mae,rmse,skill_vs_sp
Banten,1,2023-01..2023-07,16865,11157,232,0.5460331598858162,131.54466130536977,182.54227035935423,0.1972720419025661
Banten,2,2023-07..2024-01,28300,11465,440,0.6439139034740471,116.16066993850744,159.8592000553801,0.220019308838215
Banten,3,2024-01..2024-07,39487,11218,331,0.6539143036343578,106.910779796846,146.22127327346303,0.19294712078576
Banten,4,2024-07..2025-01,50984,11467,291,0.6923136830254584,101.4383173070052,145.2412528032827,0.2394954513682144
Banten,5,2025-01..end,62172,22559,259,0.6780971861437406,105.5140738356768,147.783786578998,0.2011974071192031
Bengkulu,1,2023-01..2023-07,30085,11548,225,0.777258818288739,98.66865810361058,140.49987262710584,0.2315932527783251
Bengkulu,2,2023-07..2024-01,41439,11890,276,0.8092332564374699,87.6670691507685,128.6862222957146,0.2541161092805251
Bengkulu,3,2024-01..2024-07,53019,11578,271,0.7755058460230274,102.5627456877594,148.17949421485602,0.2515265670593055
Bengkulu,4,2024-07..2025-01,64948,11648,469,0.8201981874475553,83.69039258074041,124.10523179137898,0.2740094516746013
Bengkulu,5,2025-01..end,76548,22711,309,0.7899127277499214,96.93952986193057,137.6833447727767,0.2596200713299117
Jambi,1,2023-01..2023-07,8701,4802,232,0.6210789036620252,119.07949145750956,160.62126124820446,0.212129541152963
Jambi,2,2023-07..2024-01,14116,6016,190,0.6347724353900603,123.9420928908008,165.96483795654694,0.1970708754181727
Jambi,3,2024-01..2024-07,19163,2982,162,0.5372321952860457,119.1786132775622,160.35463043584662,0.1865600354498759
Jambi,4,2024-07..2025-01,23293,4047,554,0.6547354613066966,123.02056792887394,164.486542033333,0.2502210601277979
Jambi,5,2025-01..end,26874,9511,273,0.6766220270501098,113.80107821050272,152.8178502911586,0.2394096241031659
Kalbar,1,2023-01..2023-07,15048,10121,49,0.6109617021861351,147.14515943300043,202.3119278743059,0.1268195398366001
Kalbar,2,2023-07..2024-01,23544,11095,364,0.6420264603136319,136.6884308658124,187.3144840529689,0.1339620250832709
Kalbar,3,2024-01..2024-07,34124,10468,102,0.6664133476213632,134.0058985959253,184.2553741842725,0.1928098425248916
Kalbar,4,2024-07..2025-01,44983,10238,483,0.6683998823421686,129.79801829369228,182.84085733123845,0.2048333141181334
Kalbar,5,2025-01..end,55213,21386,512,0.7263301163207269,120.0365459426805,166.03825193404933,0.2101099200366012
